app,case,metric,arch,variant,value
castep,al3x3,time,grace,base,304.23
castep,al3x3,time,vera,base,242.91
castep,al3x3,time,vera,smt,212.91
castep,al3x3,time,gnr,base,129.77
castep,al3x3,time,gnr,smt,138.44
castep,al3x3,time,turin-9r45,base,186.78
cp2k,fayalite,time,grace,base,19.694
cp2k,fayalite,time,vera,base,12.785
cp2k,fayalite,time,vera,smt,11.746
cp2k,fayalite,time,gnr,base,15.421
cp2k,fayalite,time,gnr,smt,14.872
cp2k,fayalite,time,turin-9r45,base,19.171
gromacs,TestCaseB,rate,grace,base,3.015
gromacs,TestCaseB,rate,vera,base,5.802
gromacs,TestCaseB,rate,vera,smt,6.696
gromacs,TestCaseB,rate,gnr,base,10.61
gromacs,TestCaseB,rate,gnr,smt,11.054
gromacs,TestCaseB,rate,turin-9r45,base,9.63
namd,stmv,rate,grace,base,1.69095
namd,stmv,rate,vera,base,2.8999
namd,stmv,rate,vera,smt,3.1826
namd,stmv,rate,gnr,base,2.24782
namd,stmv,rate,gnr,smt,2.38492
namd,stmv,rate,turin-9r45,base,1.86637
openfoam,hpc_motorbike,time,grace,base,352.42
openfoam,hpc_motorbike,time,vera,base,160.07
openfoam,hpc_motorbike,time,gnr,base,345.46
openfoam,hpc_motorbike,time,turin-9r45,base,379.8
wrf,corus12k,time,grace,base,0.5838
wrf,corus12k,time,vera,base,0.3062
wrf,corus12k,time,vera,smt,0.2826
wrf,corus12k,time,gnr,base,0.399
wrf,corus12k,time,gnr,smt,0.3692
wrf,corus12k,time,turin-9r45,base,0.448
