arch,app,variant,app_label,case,cores_max,threads_max,time_1core_s,time_best_s,cores_at_best,time_fullchip_s,speedup_best_self,speedup_fullchip_self,efficiency_best_self,best_at_max_cores
grace,cloverleaf,base,CloverLeaf,bm32_short,72,72,191.1686,11.1141,38,11.2645,17.2,16.97,0.453,False
grace,minibude,base,miniBUDE,bm1,72,72,201.9658,2.8529,72,2.8529,70.79,70.79,0.983,True
grace,tealeaf,base,TeaLeaf,bm_5e_2,72,72,210.491,9.635,71,9.804,21.85,21.47,0.308,False
grace,neutral,base,Neutral,stream,72,72,135.7127,2.8703,72,2.8703,47.28,47.28,0.657,True
vera,cloverleaf,base,CloverLeaf,bm32_short,88,88,107.0288,4.015,81,4.0799,26.66,26.23,0.329,False
vera,cloverleaf,smt,CloverLeaf,bm32_short,88,176,115.4036,4.3017,77,4.4344,26.83,26.02,0.348,False
vera,minibude,base,miniBUDE,bm1,88,88,113.6827,1.3971,88,1.3971,81.37,81.37,0.925,True
vera,minibude,smt,miniBUDE,bm1,88,176,109.7124,1.3544,86,1.3595,81.0,80.7,0.942,False
vera,tealeaf,base,TeaLeaf,bm_5e_2,88,88,138.658,3.92,68,4.116,35.37,33.69,0.52,False
vera,tealeaf,smt,TeaLeaf,bm_5e_2,88,176,120.699,4.945,57,5.936,24.41,20.33,0.428,False
vera,neutral,base,Neutral,stream,88,88,86.714,2.2214,88,2.2214,39.04,39.04,0.444,True
vera,neutral,smt,Neutral,stream,88,176,55.9049,1.165,88,1.165,47.99,47.99,0.545,True
turin-9r45,cloverleaf,base,CloverLeaf,bm32_short,96,96,142.0359,10.4939,96,10.4939,13.54,13.54,0.141,True
turin-9r45,minibude,base,miniBUDE,bm1,96,96,37.2527,0.569,94,0.5713,65.47,65.21,0.696,False
turin-9r45,tealeaf,base,TeaLeaf,bm_5e_2,96,96,188.999,4.908,57,5.748,38.51,32.88,0.676,False
turin-9r45,neutral,base,Neutral,stream,96,96,273.4831,4.4585,96,4.4585,61.34,61.34,0.639,True
gnr,cloverleaf,base,CloverLeaf,bm32_short,96,96,235.0083,8.4269,96,8.4269,27.89,27.89,0.29,True
gnr,minibude,base,miniBUDE,bm1,96,96,166.5286,1.8073,94,1.8131,92.14,91.85,0.98,False
gnr,tealeaf,base,TeaLeaf,bm_5e_2,96,96,271.964,8.722,78,9.221,31.18,29.49,0.4,False
gnr,neutral,base,Neutral,stream,96,96,203.498,2.6574,94,2.6757,76.58,76.06,0.815,False
