arch,nas_class,variant,kernel,threads,mops,time_s,verified,source
grace,D,base,BT,72,405526.79,143.85,True,suite
grace,D,base,CG,72,33756.52,107.92,True,suite
grace,D,base,EP,72,13293.14,10.34,True,suite
grace,D,base,FT,72,185640.69,48.29,True,suite
grace,D,base,IS,72,8371.74,2.57,True,suite
grace,D,base,LU,72,366775.15,108.78,True,suite
grace,D,base,MG,72,135834.13,22.92,True,suite
grace,D,base,SP,72,151627.11,194.79,True,suite
grace,D,base,UA,72,901.53,192.77,True,suite
vera,D,base,BT,88,661761.1,88.15,True,suite
vera,D,base,CG,88,57787.75,63.04,True,suite
vera,D,base,EP,88,20167.21,6.81,True,suite
vera,D,base,LU,88,626244.11,63.71,True,suite
vera,D,base,MG,88,342707.51,9.09,True,suite
vera,D,base,SP,88,318170.54,92.83,True,suite
vera,D,base,UA,88,1650.01,105.32,True,suite
vera,D,base,FT,88,462735.93,19.37,True,suite
vera,D,base,IS,88,19981.68,1.07,True,suite
vera,D,smt,BT,176,757175.88,77.04,True,suite
vera,D,smt,CG,176,56739.82,64.2,True,suite
vera,D,smt,EP,176,28096.65,4.89,True,suite
vera,D,smt,LU,176,569984.4,70.0,True,suite
vera,D,smt,MG,176,336454.13,9.25,True,suite
vera,D,smt,SP,176,360768.1,81.87,True,suite
vera,D,smt,UA,176,2014.77,86.26,True,suite
vera,D,smt,FT,176,283986.64,31.56,True,suite
vera,D,smt,IS,176,19912.25,1.08,True,suite
turin-9r45,D,base,BT,96,434259.97,134.33,True,suite
turin-9r45,D,base,CG,96,70481.51,51.69,True,suite
turin-9r45,D,base,EP,96,9587.7,14.33,True,suite
turin-9r45,D,base,LU,96,360024.42,110.82,True,suite
turin-9r45,D,base,MG,96,135115.58,23.05,True,suite
turin-9r45,D,base,SP,96,163250.99,180.92,True,suite
turin-9r45,D,base,UA,96,1127.62,154.12,True,suite
turin-9r45,D,base,FT,96,308712.29,29.04,True,suite
turin-9r45,D,base,IS,96,10247.2,2.1,True,suite
gnr,D,base,BT,96,450186.7,129.58,True,suite
gnr,D,base,CG,96,27009.84,134.87,True,suite
gnr,D,base,EP,96,10123.85,13.58,True,suite
gnr,D,base,LU,96,431450.02,92.47,True,suite
gnr,D,base,MG,96,175944.23,17.7,True,suite
gnr,D,base,SP,96,195495.15,151.08,True,suite
gnr,D,base,UA,96,1357.31,128.04,True,suite
gnr,D,base,FT,96,313384.05,28.6,True,suite
gnr,D,base,IS,96,8745.64,2.46,True,suite
gnr,D,base,IS,96,9047.49,2.37,True,nas-D-is
gnr,D,smt,IS,192,9356.83,2.3,True,nas-D-is-smt
