arch,nas_class,variant,kernel,cores,threads,mops,runtime_s
grace,B,base,BT,1,1,8086.08,86.84
grace,B,base,BT,2,2,15960.99,43.99
grace,B,base,BT,3,3,24111.27,29.12
grace,B,base,BT,4,4,32108.4,21.87
grace,B,base,BT,5,5,39740.21,17.67
grace,B,base,BT,6,6,47694.66,14.72
grace,B,base,BT,7,7,55664.87,12.61
grace,B,base,BT,8,8,63488.08,11.06
grace,B,base,BT,9,9,71364.32,9.84
grace,B,base,BT,10,10,79483.7,8.83
grace,B,base,BT,11,11,87871.68,7.99
grace,B,base,BT,12,12,95592.31,7.35
grace,B,base,BT,13,13,103464.47,6.79
grace,B,base,BT,14,14,111747.16,6.28
grace,B,base,BT,15,15,119745.11,5.86
grace,B,base,BT,16,16,127501.37,5.51
grace,B,base,BT,17,17,135138.52,5.2
grace,B,base,BT,18,18,143228.11,4.9
grace,B,base,BT,19,19,150714.35,4.66
grace,B,base,BT,20,20,158418.58,4.43
grace,B,base,BT,21,21,166530.63,4.22
grace,B,base,BT,22,22,174406.66,4.03
grace,B,base,BT,23,23,182137.26,3.86
grace,B,base,BT,24,24,189447.91,3.71
grace,B,base,BT,25,25,197360.77,3.56
grace,B,base,BT,26,26,204874.33,3.43
grace,B,base,BT,27,27,212488.77,3.3
grace,B,base,BT,28,28,220496.56,3.18
grace,B,base,BT,29,29,227813.74,3.08
grace,B,base,BT,30,30,235012.77,2.99
grace,B,base,BT,31,31,242589.09,2.89
grace,B,base,BT,32,32,250100.93,2.81
grace,B,base,BT,33,33,257935.39,2.72
grace,B,base,BT,34,34,265496.21,2.64
grace,B,base,BT,35,35,272905.72,2.57
grace,B,base,BT,36,36,280076.43,2.51
grace,B,base,BT,37,37,288052.59,2.44
grace,B,base,BT,38,38,295174.51,2.38
grace,B,base,BT,39,39,302514.45,2.32
grace,B,base,BT,40,40,309881.73,2.27
grace,B,base,BT,41,41,318294.89,2.21
grace,B,base,BT,42,42,325070.13,2.16
grace,B,base,BT,43,43,331822.92,2.12
grace,B,base,BT,44,44,340018.15,2.07
grace,B,base,BT,45,45,345949.26,2.03
grace,B,base,BT,46,46,354387.19,1.98
grace,B,base,BT,47,47,363024.91,1.93
grace,B,base,BT,48,48,370510.8,1.9
grace,B,base,BT,49,49,378737.32,1.85
grace,B,base,BT,50,50,385471.9,1.82
grace,B,base,BT,51,51,392213.56,1.79
grace,B,base,BT,52,52,399464.6,1.76
grace,B,base,BT,53,53,407195.35,1.72
grace,B,base,BT,54,54,414630.53,1.69
grace,B,base,BT,55,55,421559.91,1.67
grace,B,base,BT,56,56,429555.28,1.63
grace,B,base,BT,57,57,437748.88,1.6
grace,B,base,BT,58,58,446116.51,1.57
grace,B,base,BT,59,59,453462.95,1.55
grace,B,base,BT,60,60,460846.09,1.52
grace,B,base,BT,61,61,466206.93,1.51
grace,B,base,BT,62,62,470103.15,1.49
grace,B,base,BT,63,63,482634.1,1.45
grace,B,base,BT,64,64,485177.32,1.45
grace,B,base,BT,65,65,493616.35,1.42
grace,B,base,BT,66,66,503336.75,1.4
grace,B,base,BT,67,67,508379.06,1.38
grace,B,base,BT,68,68,513731.18,1.37
grace,B,base,BT,69,69,521414.55,1.35
grace,B,base,BT,70,70,527963.06,1.33
grace,B,base,BT,71,71,535491.19,1.31
grace,B,base,BT,72,72,541413.43,1.3
grace,B,base,CG,1,1,2694.64,20.3
grace,B,base,CG,2,2,4861.53,11.25
grace,B,base,CG,3,3,7829.08,6.99
grace,B,base,CG,4,4,10586.66,5.17
grace,B,base,CG,5,5,12886.73,4.25
grace,B,base,CG,6,6,15319.49,3.57
grace,B,base,CG,7,7,17671.77,3.1
grace,B,base,CG,8,8,20137.94,2.72
grace,B,base,CG,9,9,22058.48,2.48
grace,B,base,CG,10,10,24823.55,2.2
grace,B,base,CG,11,11,26791.48,2.04
grace,B,base,CG,12,12,22335.05,2.45
grace,B,base,CG,13,13,28057.74,1.95
grace,B,base,CG,14,14,32448.79,1.69
grace,B,base,CG,15,15,30731.12,1.78
grace,B,base,CG,16,16,36273.0,1.51
grace,B,base,CG,17,17,26120.28,2.09
grace,B,base,CG,18,18,27039.73,2.02
grace,B,base,CG,19,19,41355.77,1.32
grace,B,base,CG,20,20,43029.54,1.27
grace,B,base,CG,21,21,36383.23,1.5
grace,B,base,CG,22,22,45718.98,1.2
grace,B,base,CG,23,23,48024.89,1.14
grace,B,base,CG,24,24,47150.88,1.16
grace,B,base,CG,25,25,51756.95,1.06
grace,B,base,CG,26,26,43824.96,1.25
grace,B,base,CG,27,27,53855.78,1.02
grace,B,base,CG,28,28,46125.7,1.19
grace,B,base,CG,29,29,56541.45,0.97
grace,B,base,CG,30,30,57153.13,0.96
grace,B,base,CG,31,31,57564.65,0.95
grace,B,base,CG,32,32,60045.02,0.91
grace,B,base,CG,33,33,51853.64,1.06
grace,B,base,CG,34,34,60317.3,0.91
grace,B,base,CG,35,35,66363.15,0.82
grace,B,base,CG,36,36,66667.11,0.82
grace,B,base,CG,37,37,67496.89,0.81
grace,B,base,CG,38,38,67539.28,0.81
grace,B,base,CG,39,39,68685.46,0.8
grace,B,base,CG,40,40,71653.41,0.76
grace,B,base,CG,41,41,72224.98,0.76
grace,B,base,CG,42,42,73876.3,0.74
grace,B,base,CG,43,43,75354.98,0.73
grace,B,base,CG,44,44,78639.05,0.7
grace,B,base,CG,45,45,81303.42,0.67
grace,B,base,CG,46,46,82178.53,0.67
grace,B,base,CG,47,47,80903.99,0.68
grace,B,base,CG,48,48,84153.39,0.65
grace,B,base,CG,49,49,80711.71,0.68
grace,B,base,CG,50,50,86766.22,0.63
grace,B,base,CG,51,51,88626.69,0.62
grace,B,base,CG,52,52,74986.41,0.73
grace,B,base,CG,53,53,87575.22,0.62
grace,B,base,CG,54,54,92227.35,0.59
grace,B,base,CG,55,55,79235.65,0.69
grace,B,base,CG,56,56,91987.12,0.59
grace,B,base,CG,57,57,79027.35,0.69
grace,B,base,CG,58,58,66875.04,0.82
grace,B,base,CG,59,59,95809.69,0.57
grace,B,base,CG,60,60,96112.52,0.57
grace,B,base,CG,61,61,96616.84,0.57
grace,B,base,CG,62,62,97292.23,0.56
grace,B,base,CG,63,63,91350.66,0.6
grace,B,base,CG,64,64,97842.59,0.56
grace,B,base,CG,65,65,98695.79,0.55
grace,B,base,CG,66,66,97155.75,0.56
grace,B,base,CG,67,67,100873.77,0.54
grace,B,base,CG,68,68,97994.08,0.56
grace,B,base,CG,69,69,91648.26,0.6
grace,B,base,CG,70,70,99353.36,0.55
grace,B,base,CG,71,71,91230.09,0.6
grace,B,base,CG,72,72,103094.75,0.53
grace,B,base,EP,1,1,187.11,11.48
grace,B,base,EP,2,2,374.7,5.73
grace,B,base,EP,3,3,562.27,3.82
grace,B,base,EP,4,4,749.33,2.87
grace,B,base,EP,5,5,934.9,2.3
grace,B,base,EP,6,6,1124.04,1.91
grace,B,base,EP,7,7,1313.69,1.63
grace,B,base,EP,8,8,1500.65,1.43
grace,B,base,EP,9,9,1680.59,1.28
grace,B,base,EP,10,10,1870.43,1.15
grace,B,base,EP,11,11,2051.49,1.05
grace,B,base,EP,12,12,2244.61,0.96
grace,B,base,EP,13,13,2439.9,0.88
grace,B,base,EP,14,14,2621.43,0.82
grace,B,base,EP,15,15,2798.86,0.77
grace,B,base,EP,16,16,2986.63,0.72
grace,B,base,EP,17,17,3190.18,0.67
grace,B,base,EP,18,18,3352.47,0.64
grace,B,base,EP,19,19,3551.93,0.6
grace,B,base,EP,20,20,3751.8,0.57
grace,B,base,EP,21,21,3908.75,0.55
grace,B,base,EP,22,22,4117.02,0.52
grace,B,base,EP,23,23,4291.76,0.5
grace,B,base,EP,24,24,4502.08,0.48
grace,B,base,EP,25,25,4686.77,0.46
grace,B,base,EP,26,26,4868.78,0.44
grace,B,base,EP,27,27,5019.54,0.43
grace,B,base,EP,28,28,5223.31,0.41
grace,B,base,EP,29,29,5411.29,0.4
grace,B,base,EP,30,30,5575.69,0.39
grace,B,base,EP,31,31,5820.01,0.37
grace,B,base,EP,32,32,5955.41,0.36
grace,B,base,EP,33,33,6120.28,0.35
grace,B,base,EP,34,34,6375.49,0.34
