arch,placement,cores,triad_gbps
grace,sequential,1,29.4458
grace,sequential,2,57.6035
grace,sequential,3,84.848
grace,sequential,4,111.3707
grace,sequential,5,136.2993
grace,sequential,6,161.5708
grace,sequential,7,183.9257
grace,sequential,8,205.9414
grace,sequential,9,224.9292
grace,sequential,10,246.62810000000002
grace,sequential,11,268.0185
grace,sequential,12,283.9819
grace,sequential,13,298.2285
grace,sequential,14,314.4295
grace,sequential,15,324.254
grace,sequential,16,332.7162
grace,sequential,17,337.6877
grace,sequential,18,355.5332
grace,sequential,19,363.3617
grace,sequential,20,374.22459999999995
grace,sequential,21,385.96040000000005
grace,sequential,22,394.6871
grace,sequential,23,405.0294
grace,sequential,24,412.7518
grace,sequential,25,413.91159999999996
grace,sequential,26,420.16720000000004
grace,sequential,27,430.7833
grace,sequential,28,439.8658
grace,sequential,29,440.46729999999997
grace,sequential,30,444.6832
grace,sequential,31,449.2309
grace,sequential,32,462.2795
grace,sequential,33,466.2766
grace,sequential,34,460.06109999999995
grace,sequential,35,472.4405
grace,sequential,36,474.5005
grace,sequential,37,475.4062
grace,sequential,38,470.85679999999996
grace,sequential,39,472.1635
grace,sequential,40,466.5107
grace,sequential,41,467.1151
grace,sequential,42,458.8902
grace,sequential,43,455.47290000000004
grace,sequential,44,463.806
grace,sequential,45,456.9287
grace,sequential,46,462.02320000000003
grace,sequential,47,456.45390000000003
grace,sequential,48,473.6818
grace,sequential,49,454.0007
grace,sequential,50,466.9977
grace,sequential,51,467.2325
grace,sequential,52,463.17470000000003
grace,sequential,53,462.90840000000003
grace,sequential,54,462.6514
grace,sequential,55,464.4033
grace,sequential,56,462.0585
grace,sequential,57,465.7193
grace,sequential,58,432.9837
grace,sequential,59,450.0678
grace,sequential,60,462.7577
grace,sequential,61,464.5105
grace,sequential,62,461.1677
grace,sequential,63,465.2351
grace,sequential,64,465.3426
grace,sequential,65,452.6821
grace,sequential,66,454.1884
grace,sequential,67,463.91290000000004
grace,sequential,68,454.14570000000003
grace,sequential,69,447.9067
grace,sequential,70,442.0227
grace,sequential,71,461.82890000000003
grace,sequential,72,455.5501
grace,round-robin,1,29.2286
grace,round-robin,2,57.6416
grace,round-robin,3,84.9907
grace,round-robin,4,111.16260000000001
grace,round-robin,5,136.7127
grace,round-robin,6,162.4366
grace,round-robin,7,184.4734
grace,round-robin,8,209.4461
grace,round-robin,9,228.1838
grace,round-robin,10,248.8868
grace,round-robin,11,266.914
grace,round-robin,12,286.0261
grace,round-robin,13,304.4713
grace,round-robin,14,315.96340000000004
grace,round-robin,15,324.7814
grace,round-robin,16,335.9783
grace,round-robin,17,352.725
grace,round-robin,18,352.68379999999996
grace,round-robin,19,369.842
grace,round-robin,20,380.6515
grace,round-robin,21,388.4801
grace,round-robin,22,397.4597
grace,round-robin,23,400.7496
grace,round-robin,24,408.86109999999996
grace,round-robin,25,413.437
grace,round-robin,26,412.10409999999996
grace,round-robin,27,434.8854
grace,round-robin,28,444.65040000000005
grace,round-robin,29,440.3389
grace,round-robin,30,447.4504
grace,round-robin,31,452.6227
grace,round-robin,32,464.3676
grace,round-robin,33,468.25579999999997
grace,round-robin,34,465.1544
grace,round-robin,35,466.7
grace,round-robin,36,469.9775
grace,round-robin,37,471.62890000000004
grace,round-robin,38,470.8935
grace,round-robin,39,470.9302
grace,round-robin,40,466.4747
grace,round-robin,41,463.1658
grace,round-robin,42,463.84159999999997
grace,round-robin,43,453.6511
grace,round-robin,44,460.03490000000005
grace,round-robin,45,452.8263
grace,round-robin,46,452.93670000000003
grace,round-robin,47,452.5464
grace,round-robin,48,466.9255
grace,round-robin,49,453.7534
grace,round-robin,50,463.3523
grace,round-robin,51,467.2596
grace,round-robin,52,453.43829999999997
grace,round-robin,53,465.6834
grace,round-robin,54,451.7932
grace,round-robin,55,461.4672
grace,round-robin,56,469.5938
grace,round-robin,57,462.0585
grace,round-robin,58,430.0166
grace,round-robin,59,450.6303
grace,round-robin,60,465.863
grace,round-robin,61,467.6123
grace,round-robin,62,467.4947
grace,round-robin,63,464.216
grace,round-robin,64,465.3784
grace,round-robin,65,446.1943
grace,round-robin,66,453.7619
grace,round-robin,67,461.72290000000004
grace,round-robin,68,462.0939
grace,round-robin,69,446.4087
grace,round-robin,70,437.722
grace,round-robin,71,459.07329999999996
grace,round-robin,72,440.2666
vera,sequential,1,69.5354
vera,sequential,2,138.42229999999998
vera,sequential,3,207.63039999999998
vera,sequential,4,273.6472
vera,sequential,5,339.6273
vera,sequential,6,404.3413
vera,sequential,7,467.6309
