cores,gnr
1,235.00826597213745
2,124.28705406188965
3,85.543238878250122
4,65.726144075393677
5,53.520056009292603
6,45.753224134445190
7,40.739662170410156
8,37.135160923004150
9,34.706027984619141
10,32.992445945739746
11,31.546869039535522
12,30.447136878967285
13,29.497447967529297
14,28.743520975112915
15,28.065860033035278
16,27.557976961135864
17,27.071995973587036
18,26.718512058258057
19,26.507386922836304
20,26.253059148788452
21,25.990934133529663
22,25.894787073135376
23,25.832653045654297
24,25.833811044692993
25,25.715752124786377
26,25.714154958724976
27,25.650309085845947
28,25.620503902435303
29,25.560425996780396
30,25.531689882278442
31,25.567492008209229
32,25.547469139099121
33,24.858383893966675
34,24.110975027084351
35,23.423160076141357
36,22.784445047378540
37,22.194405078887939
38,21.589533090591431
39,21.050978899002075
40,20.510113954544067
41,20.053268909454346
42,19.522827863693237
43,19.070446014404297
44,18.652020931243896
45,18.218907117843628
46,17.831722021102905
47,17.472998142242432
48,17.056470870971680
49,16.710520982742310
50,16.366452932357788
51,16.033620119094849
52,15.693984985351562
53,15.461879968643188
54,15.104277849197388
55,14.797789096832275
56,14.570330858230591
57,14.298801898956299
58,14.041267871856689
59,13.819143056869507
60,13.571598052978516
61,13.311948060989380
62,13.074132204055786
63,12.849947929382324
64,12.658109188079834
65,12.557026147842407
66,12.415400028228760
67,12.203958034515381
68,12.052470922470093
69,11.835148096084595
70,11.622847080230713
71,11.491142988204956
72,11.375198841094971
73,11.176119089126587
74,10.975400924682617
75,10.898210048675537
76,10.789700031280518
77,10.506131887435913
78,10.450568199157715
79,10.276242017745972
80,10.122275829315186
81,10.066789150238037
82,9.8376970291137695
83,9.7913269996643066
84,9.5998980998992920
85,9.5451681613922119
86,9.3845369815826416
87,9.3474249839782715
88,9.1988139152526855
89,9.0783808231353760
90,8.9367728233337402
91,8.8742139339447021
92,8.7706990242004395
93,8.7244441509246826
94,8.5313699245452881
95,8.5106940269470215
96,8.4268980026245117
