cores,sum_ms
1,166528.59
2,83291.88
3,55580.55
4,41653.27
5,33351.29
6,27817.00
7,23835.97
8,20828.40
9,18546.63
10,16683.68
11,15221.11
12,13916.33
13,12858.68
14,11960.47
15,11156.73
16,10467.75
17,9848.11
18,9277.88
19,8790.70
20,8381.82
21,7976.83
22,7651.77
23,7326.49
24,7000.75
25,6675.77
26,6433.50
27,6189.86
28,6023.21
29,5782.77
30,5619.48
31,5454.05
32,5212.06
33,5132.27
34,4967.78
35,4805.38
36,4644.02
37,4560.84
38,4399.87
39,4317.37
40,4235.58
41,4074.63
42,3993.11
43,3911.36
44,3829.58
45,3748.99
46,3666.95
47,3585.13
48,3504.63
49,3423.81
50,3343.06
51,3340.25
52,3259.92
53,3179.31
54,3098.03
55,3096.10
56,3015.84
57,2934.81
58,2933.92
59,2854.31
60,2852.39
61,2772.06
62,2768.93
63,2690.69
64,2609.60
65,2611.15
66,2607.80
67,2528.39
68,2528.17
69,2447.33
70,2446.35
71,2366.68
72,2366.00
73,2364.70
74,2285.35
75,2284.57
76,2205.60
77,2203.27
78,2203.13
79,2123.54
80,2121.53
81,2121.39
82,2041.61
83,2041.57
84,2040.86
85,2039.50
86,1959.19
87,1959.04
88,1958.51
89,1955.41
90,1878.30
91,1878.20
92,1877.00
93,1874.55
94,1807.25
95,1812.99
96,1813.11
