cores,wallclock_s
1,203.498013632
2,103.189902583
3,69.610579247
4,52.552478524
5,42.253645607
6,35.468554806
7,30.344445772
8,26.709658386
9,23.733848173
10,21.503836652
11,19.569517441
12,18.002082245
13,16.647207576
14,15.403430578
15,14.482129690
16,13.547453306
17,12.779245972
18,12.050985239
19,11.469693064
20,10.914644778
21,10.463302898
22,10.037570304
23,9.626237853
24,9.245741852
25,8.838548807
26,8.531952808
27,8.236677080
28,8.057421092
29,7.704210659
30,7.520853903
31,7.281975731
32,7.130086405
33,7.539390789
34,7.101968718
35,6.751898333
36,6.553841667
37,6.180689959
38,5.802477174
39,5.528583329
40,5.223367544
41,5.123389817
42,4.915880627
43,4.648374564
44,4.451959090
45,4.324274948
46,4.229659324
47,4.128721899
48,3.984801411
49,3.879940956
50,3.850260876
51,3.703500843
52,3.570369605
53,3.518099167
54,3.403700045
55,3.355541185
56,3.287734175
57,3.233635514
58,3.185653688
59,3.106177081
60,3.060808478
61,3.017194990
62,2.979750738
63,2.949240460
64,2.891933731
65,3.297524172
66,3.247364355
67,3.218719267
68,3.184684868
69,3.172597410
70,3.117324572
71,3.129430605
72,3.088736961
73,3.039772566
74,3.006165100
75,2.967370683
76,2.959853047
77,2.923584407
78,2.940907738
79,2.912833617
80,2.870795416
81,2.843539383
82,2.824381171
83,2.799848909
84,2.780184046
85,2.787212917
86,2.765813686
87,2.758267374
88,2.738459392
89,2.696890262
90,2.710581533
91,2.688416328
92,2.682821978
93,2.677394017
94,2.657350449
95,2.671001035
96,2.675654105
