cores,wallclock_s
1,271.964
2,137.223
3,105.784
4,78.977
5,64.165
6,57.429
7,49.936
8,44.153
9,42.762
10,39.352
11,37.630
12,35.460
13,32.504
14,30.313
15,29.421
16,27.721
17,27.209
18,26.057
19,25.709
20,25.791
21,25.665
22,24.588
23,23.679
24,22.627
25,21.899
26,21.189
27,20.522
28,19.964
29,19.143
30,18.576
31,18.061
32,17.614
33,17.154
34,16.676
35,16.354
36,15.730
37,15.212
38,14.849
39,14.536
40,14.111
41,13.782
42,13.514
43,13.195
44,13.028
45,12.829
46,12.552
47,12.272
48,11.918
49,11.601
50,11.292
51,11.355
52,11.310
53,11.045
54,10.923
55,10.681
56,10.539
57,10.271
58,10.128
59,10.248
60,9.943
61,9.830
62,9.912
63,9.737
64,9.689
65,9.680
66,9.561
67,9.799
68,9.296
69,9.467
70,9.151
71,9.224
72,9.204
73,9.120
74,8.958
75,8.877
76,9.069
77,8.922
78,8.722
79,8.821
80,8.822
81,8.729
82,8.851
83,8.812
84,8.856
85,8.876
86,8.898
87,8.906
88,8.943
89,8.790
90,8.891
91,9.017
92,8.938
93,9.067
94,8.985
95,9.132
96,9.221
