cores,sum_ms
1,201965.77
2,101024.85
3,67396.61
4,50552.88
5,40483.34
6,33752.74
7,28930.79
8,25277.70
9,22515.62
10,20248.50
11,18468.55
12,16887.68
13,15615.52
14,14523.20
15,13536.27
16,12651.27
17,11962.36
18,11274.42
19,10676.46
20,10185.84
21,9692.09
22,9298.15
23,8906.09
24,8487.12
25,7969.06
26,7667.98
27,7377.73
28,7172.44
29,6897.77
30,6700.81
31,6493.26
32,6222.48
33,6106.89
34,5923.93
35,5740.60
36,5547.81
37,5444.20
38,5261.12
39,5162.93
40,5055.23
41,4873.69
42,4775.20
43,4677.33
44,4582.05
45,4485.82
46,4389.22
47,4293.52
48,4193.98
49,4096.76
50,4004.65
51,3992.23
52,3911.06
53,3817.35
54,3724.17
55,3713.41
56,3625.19
57,3531.69
58,3533.32
59,3435.96
60,3428.12
61,3339.42
62,3302.71
63,3240.51
64,3144.93
65,3144.18
66,3111.34
67,3049.07
68,3044.89
69,2948.82
70,2951.87
71,2854.04
72,2852.93
