cores,wallclock_s
1,135.712701953
2,68.323084768
3,45.667746228
4,34.247780516
5,27.148056047
6,22.959484332
7,19.628978044
8,17.555141841
9,15.649612120
10,14.160521117
11,12.929156557
12,11.858493997
13,11.059859003
14,10.229279827
15,9.556797746
16,9.198127149
17,8.609860659
18,8.291813955
19,7.886724427
20,7.464845251
21,7.095979601
22,6.865924140
23,6.690286895
24,6.352248089
25,6.134818573
26,5.925508531
27,5.784486771
28,5.644102845
29,5.388504298
30,5.274543652
31,5.076887877
32,4.990459079
33,4.848627715
34,4.734923891
35,4.622028616
36,4.526899854
37,4.425142256
38,4.414838375
39,4.256642340
40,4.265211174
41,4.107498451
42,4.034541332
43,4.019692099
44,3.900474251
45,3.935936013
46,3.794645494
47,3.740491108
48,3.691640961
49,3.629316256
50,3.693298699
51,3.538323964
52,3.502616162
53,3.532638809
54,3.419404442
55,3.386536834
56,3.411638748
57,3.280609615
58,3.267489829
59,3.364656476
60,3.210317848
61,3.260009086
62,3.141964544
63,3.110892972
64,3.172170224
65,3.054034933
66,3.039373086
67,3.006721119
68,2.971929127
69,2.954399537
70,2.919094858
71,2.982674689
72,2.870265478
