cores,wallclock_s
1,210.491
2,107.042
3,73.232
4,56.558
5,46.713
6,40.038
7,35.313
8,31.940
9,29.144
10,26.913
11,25.375
12,23.876
13,23.209
14,22.045
15,21.411
16,20.768
17,20.116
18,19.739
19,19.121
20,18.783
21,18.188
22,17.916
23,17.526
24,17.428
25,17.037
26,17.063
27,16.460
28,16.630
29,15.903
30,15.808
31,15.626
32,15.301
33,15.286
34,15.312
35,15.103
36,15.092
37,14.688
38,14.462
39,14.252
40,14.332
41,14.320
42,13.961
43,14.058
44,13.931
45,13.680
46,13.502
47,13.225
48,13.281
49,12.874
50,12.929
51,12.501
52,12.492
53,12.215
54,12.213
55,12.011
56,11.888
57,11.689
58,11.696
59,11.411
60,11.632
61,11.047
62,11.075
63,10.777
64,10.766
65,10.613
66,10.225
67,10.445
68,10.094
69,10.236
70,9.962
71,9.635
72,9.804
