cores,sum_ms
1,37252.72
2,18636.27
3,12454.06
4,9350.50
5,7499.11
6,6268.99
7,5389.02
8,4723.18
9,4199.99
10,3774.42
11,3446.91
12,3156.16
13,2915.88
14,2711.87
15,2526.63
16,2366.86
17,2234.97
18,2107.59
19,1996.60
20,1902.29
21,1811.89
22,1737.08
23,1662.84
24,1589.58
25,1517.19
26,1461.54
27,1411.17
28,1380.96
29,1333.34
30,1301.38
31,1270.10
32,1215.49
33,1207.54
34,1165.62
35,1137.60
36,1106.76
37,1091.31
38,1060.21
39,1044.47
40,1028.40
41,997.88
42,982.81
43,967.88
44,952.80
45,937.80
46,922.21
47,906.45
48,892.41
49,875.62
50,859.65
51,860.25
52,845.16
53,829.89
54,815.01
55,813.60
56,798.27
57,783.52
58,783.10
59,768.01
60,768.62
61,752.78
62,752.32
63,736.89
64,721.62
65,722.14
66,721.74
67,706.53
68,707.55
69,691.46
70,690.09
71,677.87
72,676.75
73,676.69
74,664.19
75,661.79
76,645.01
77,645.24
78,646.31
79,629.20
80,629.83
81,630.52
82,613.72
83,614.75
84,615.52
85,614.75
86,599.23
87,599.32
88,600.57
89,602.69
90,583.13
91,584.50
92,584.94
93,584.29
94,569.01
95,569.25
96,571.30
