cores,wallclock_s
1,273.483053025
2,138.206791678
3,92.098947623
4,68.060395043
5,54.550047006
6,45.625320302
7,39.458786141
8,34.721540792
9,38.903918008
10,34.117178432
11,30.491696543
12,27.442001286
13,25.183726777
14,23.296060479
15,22.079494177
16,20.546688564
17,20.372878821
18,19.156915120
19,18.284060968
20,17.372964716
21,16.653245198
22,15.981320514
23,15.299167433
24,14.570575445
25,14.622219413
26,14.142275728
27,13.574703057
28,13.192967143
29,12.823582843
30,12.306879010
31,11.961225186
32,11.598032819
33,11.748241056
34,11.234532014
35,11.078210818
36,10.795225154
37,10.518175114
38,10.089116546
39,9.822981485
40,9.664194881
41,9.838702961
42,9.381383496
43,9.120070484
44,8.861297241
45,8.591259709
46,8.495316215
47,8.254134499
48,8.045458021
49,8.129913047
50,7.795797991
51,7.600251051
52,7.415561650
53,7.322070230
54,7.309218286
55,7.048728976
56,6.849644692
57,7.036689938
58,6.775820850
59,6.713214178
60,6.497630933
61,6.345224874
62,6.245897175
63,6.380606655
64,6.123540797
65,6.111955587
66,6.004979224
67,5.800338049
68,5.796286561
69,5.711124512
70,5.749798785
71,5.538697248
72,5.468955231
73,5.575220773
74,5.508004156
75,5.352645092
76,5.404100007
77,5.207260484
78,5.168876099
79,5.129566877
80,5.074222871
81,5.156224117
82,5.056354078
83,4.989176637
84,4.887372022
85,4.863096858
86,4.839295783
87,4.815616183
88,4.718133188
89,4.774118753
90,4.698141493
91,4.692372116
92,4.567596467
93,4.552487321
94,4.524739823
95,4.496799448
96,4.458460226
