cores,wallclock_s
1,188.999
2,137.421
3,119.490
4,110.863
5,106.493
6,104.335
7,102.808
8,101.968
9,87.745
10,76.419
11,67.601
12,60.313
13,54.003
14,48.579
15,44.035
16,40.090
17,36.350
18,32.953
19,30.163
20,27.626
21,25.877
22,24.046
23,22.733
24,21.301
25,19.286
26,17.732
27,16.288
28,15.185
29,13.835
30,12.700
31,11.914
32,11.151
33,10.112
34,9.368
35,8.508
36,7.741
37,7.306
38,6.666
39,6.303
40,6.100
41,5.810
42,5.635
43,5.467
44,5.442
45,5.369
46,5.283
47,5.221
48,5.195
49,5.179
50,5.088
51,5.077
52,5.062
53,5.025
54,5.022
55,5.114
56,4.957
57,4.908
58,4.916
59,4.932
60,4.953
61,4.928
62,4.982
63,5.006
64,5.058
65,5.062
66,5.067
67,5.125
68,5.051
69,5.110
70,5.188
71,5.223
72,5.258
73,5.306
74,5.266
75,5.319
76,5.320
77,5.257
78,5.221
79,5.285
80,5.363
81,5.278
82,5.368
83,5.443
84,5.407
85,5.415
86,5.392
87,5.491
88,5.505
89,5.503
90,5.574
91,5.630
92,5.535
93,5.657
94,5.681
95,5.686
96,5.748
