cores,threads,vera
1,2,115.40360689163208
2,4,58.232918977737427
3,6,39.064004898071289
4,8,29.314596891403198
5,10,23.527284860610962
6,12,19.882766962051392
7,14,17.150271892547607
8,16,15.612547874450684
9,18,13.937834978103638
10,20,12.750190973281860
11,22,11.693987846374512
12,24,11.021433115005493
13,26,10.354017019271851
14,28,9.5122790336608887
15,30,9.0156950950622559
16,32,8.5037069320678711
17,34,7.9450118541717529
18,36,7.5908749103546143
19,38,7.2357809543609619
20,40,6.9228999614715576
21,42,6.6923170089721680
22,44,6.6338279247283936
23,46,6.2079911231994629
24,48,6.0392310619354248
25,50,5.8713939189910889
26,52,5.8345489501953125
27,54,5.8416178226470947
28,56,5.5886979103088379
29,58,5.5342228412628174
30,60,5.2761881351470947
31,62,5.2932608127593994
32,64,5.1868970394134521
33,66,5.1829020977020264
34,68,4.9818348884582520
35,70,4.9971899986267090
36,72,5.1586010456085205
37,74,4.8087859153747559
38,76,4.8899619579315186
39,78,4.7320191860198975
40,80,4.7226610183715820
41,82,4.6465148925781250
42,84,4.6771459579467773
43,86,4.6047470569610596
44,88,4.5175449848175049
45,90,4.5630359649658203
46,92,4.5856068134307861
47,94,4.6563398838043213
48,96,4.4934530258178711
49,98,4.4833819866180420
50,100,4.4913511276245117
51,102,4.4809439182281494
52,104,4.4254920482635498
53,106,4.4285728931427002
54,108,4.4508578777313232
55,110,4.4897930622100830
56,112,4.3744549751281738
57,114,4.4421200752258301
58,116,4.4252660274505615
59,118,4.3972079753875732
60,120,4.4467129707336426
61,122,4.3713121414184570
62,124,4.3155059814453125
63,126,4.3777968883514404
64,128,4.3214700222015381
65,130,4.3834660053253174
66,132,4.3504929542541504
67,134,4.3605301380157471
68,136,4.3637368679046631
69,138,4.3587470054626465
70,140,4.3697760105133057
71,142,4.4150168895721436
72,144,4.3466389179229736
73,146,4.3628129959106445
74,148,4.3094499111175537
75,150,4.3417148590087891
76,152,4.4682798385620117
77,154,4.3016641139984131
78,156,4.3341939449310303
79,158,4.3225169181823730
80,160,4.3450360298156738
81,162,4.3355340957641602
82,164,4.3235800266265869
83,166,4.4217531681060791
84,168,4.4417219161987305
85,170,4.3356029987335205
86,172,4.3410670757293701
87,174,4.4359831809997559
88,176,4.4343578815460205
