cores,sum_ms
1,113682.73
2,56918.70
3,37989.60
4,28454.61
5,22786.08
6,19002.97
7,16291.93
8,14244.59
9,12702.28
10,11417.96
11,10428.71
12,9534.17
13,8811.38
14,8195.21
15,7640.33
16,7139.31
17,6750.24
18,6360.82
19,6026.67
20,5752.17
21,5480.34
22,5254.88
23,5027.13
24,4804.83
25,4585.42
26,4416.85
27,4250.99
28,4131.72
29,3991.35
30,3851.89
31,3740.74
32,3585.45
33,3518.88
34,3405.17
35,3300.59
36,3191.69
37,3135.74
38,3024.97
39,2968.39
40,2903.90
41,2805.79
42,2746.39
43,2691.24
44,2634.53
45,2578.28
46,2523.13
47,2469.36
48,2416.15
49,2365.55
50,2310.49
51,2297.94
52,2250.20
53,2194.54
54,2140.25
55,2133.77
56,2211.64
57,2035.90
58,2024.48
59,1981.98
60,1966.98
61,1922.27
62,1914.51
63,1860.32
64,1830.04
65,1806.22
66,1803.92
67,1748.84
68,1747.97
69,1695.41
70,1695.28
71,1645.21
72,1647.06
73,1645.20
74,1599.17
75,1596.76
76,1546.56
77,1550.35
78,1545.91
79,1495.22
80,1497.00
81,1495.94
82,1446.81
83,1446.98
84,1446.45
85,1444.25
86,1398.48
87,1399.05
88,1397.14
