cores,threads,wallclock_s
1,2,55.904918180
2,4,28.310354637
3,6,19.112683210
4,8,14.430397737
5,10,11.713871599
6,12,9.909626145
7,14,8.585445554
8,16,7.596616914
9,18,6.836648262
10,20,6.214606388
11,22,5.712045131
12,24,5.285442488
13,26,4.943479246
14,28,4.639980015
15,30,4.371254944
16,32,4.127344607
17,34,3.914920636
18,36,3.754874822
19,38,3.575896253
20,40,3.435524324
21,42,3.300795550
22,44,3.177364490
23,46,3.066632824
24,48,2.967325803
25,50,2.854712554
26,52,2.784729289
27,54,2.699137350
28,56,2.621572993
29,58,2.547361607
30,60,2.479836276
31,62,2.413992537
32,64,2.359674807
33,66,2.304157269
34,68,2.251893582
35,70,2.206249285
36,72,2.161704256
37,74,2.111288423
38,76,2.073609947
39,78,2.025555566
40,80,1.983453100
41,82,1.961934715
42,84,1.935358840
43,86,1.898375976
44,88,1.873251370
45,90,1.835664829
46,92,1.809500232
47,94,1.783162885
48,96,1.758111981
49,98,1.730834384
50,100,1.695999185
51,102,1.680597993
52,104,1.648276249
53,106,1.635466353
54,108,1.614708672
55,110,1.589979517
56,112,1.572426521
57,114,1.546182468
58,116,1.528049750
59,118,1.508976540
60,120,1.492906404
61,122,1.477544444
62,124,1.458062233
63,126,1.444385552
64,128,1.428286645
65,130,1.411976232
66,132,1.397294929
67,134,1.384148847
68,136,1.367625562
69,138,1.353884073
70,140,1.340542808
71,142,1.319730375
72,144,1.314883736
73,146,1.304210646
74,148,1.291397399
75,150,1.279505418
76,152,1.269277541
77,154,1.257867571
78,156,1.250951739
79,158,1.240602704
80,160,1.230137825
81,162,1.220673040
82,164,1.212500069
83,166,1.201582635
84,168,1.192699730
85,170,1.184514045
86,172,1.176743427
87,174,1.165661910
88,176,1.165027901
