cores,wallclock_s
1,86.713978644
2,44.178065007
3,30.202769475
4,23.094817940
5,18.712093318
6,15.927993346
7,13.953658455
8,12.389397271
9,11.190649556
10,10.236330221
11,9.466969511
12,8.770373866
13,8.244054085
14,7.729519312
15,7.320237028
16,6.962832340
17,6.584713399
18,6.350334329
19,6.046499152
20,5.867700250
21,5.675102264
22,5.476890313
23,5.315482825
24,5.145599856
25,4.980229850
26,4.834812870
27,4.701380777
28,4.551060284
29,4.465224645
30,4.375441903
31,4.276680020
32,4.183784424
33,4.086960446
34,4.003288960
35,3.926414288
36,3.813960742
37,3.782519650
38,3.675980773
39,3.648799093
40,3.583602296
41,3.537121550
42,3.483776955
43,3.418035857
44,3.364434258
45,3.288627014
46,3.239831835
47,3.237226997
48,3.188349962
49,3.148222278
50,3.111544143
51,3.075590279
52,3.027476063
53,2.990725092
54,2.953717409
55,2.922982800
56,2.904286186
57,2.870686963
58,2.822767889
59,2.798124377
60,2.768333815
61,2.743080287
62,2.693982070
63,2.698608782
64,2.663580067
65,2.646420257
66,2.622516069
67,2.600788906
68,2.556291323
69,2.534518201
70,2.528841589
71,2.487277913
72,2.485131691
73,2.469567151
74,2.427797534
75,2.430021739
76,2.401975389
77,2.386949306
78,2.376212699
79,2.363963948
80,2.331166219
81,2.334303236
82,2.311351871
83,2.299048087
84,2.281344476
85,2.265622085
86,2.248471540
87,2.236639899
88,2.221426130
