cores,threads,wallclock_s
1,2,120.699
2,4,60.916
3,6,40.239
4,8,30.615
5,10,24.652
6,12,20.705
7,14,18.151
8,16,16.720
9,18,14.962
10,20,14.995
11,22,13.820
12,24,14.872
13,26,12.860
14,28,11.651
15,30,11.457
16,32,10.891
17,34,10.311
18,36,10.058
19,38,9.533
20,40,9.426
21,42,8.837
22,44,8.908
23,46,9.045
24,48,8.240
25,50,8.238
26,52,7.917
27,54,7.542
28,56,7.148
29,58,6.936
30,60,6.749
31,62,6.512
32,64,6.740
33,66,6.275
34,68,6.245
35,70,6.038
36,72,6.096
37,74,5.952
38,76,6.264
39,78,6.088
40,80,5.694
41,82,5.474
42,84,5.760
43,86,6.015
44,88,5.442
45,90,5.325
46,92,5.298
47,94,5.477
48,96,5.202
49,98,5.120
50,100,5.214
51,102,5.118
52,104,5.184
53,106,5.220
54,108,5.155
55,110,5.099
56,112,5.142
57,114,4.945
58,116,5.166
59,118,5.039
60,120,5.132
61,122,5.090
62,124,5.060
63,126,5.293
64,128,5.186
65,130,5.124
66,132,5.033
67,134,5.157
68,136,5.139
69,138,5.180
70,140,5.162
71,142,5.109
72,144,5.215
73,146,5.208
74,148,5.236
75,150,5.343
76,152,5.418
77,154,5.417
78,156,5.765
79,158,5.456
80,160,5.879
81,162,5.504
82,164,6.058
83,166,5.715
84,168,5.716
85,170,6.325
86,172,6.002
87,174,5.691
88,176,5.936
