cores,wallclock_s
1,138.658
2,69.351
3,47.689
4,36.358
5,30.907
6,24.660
7,21.563
8,18.602
9,16.720
10,15.390
11,14.046
12,14.270
13,11.938
14,11.262
15,10.653
16,10.277
17,9.569
18,9.112
19,8.685
20,8.198
21,8.024
22,7.678
23,7.379
24,7.003
25,6.859
26,7.488
27,6.493
28,6.346
29,6.167
30,5.986
31,5.826
32,5.614
33,5.579
34,5.383
35,5.256
36,5.204
37,5.777
38,5.029
39,5.001
40,4.903
41,4.807
42,4.766
43,4.691
44,4.673
45,4.570
46,5.385
47,4.497
48,4.512
49,4.448
50,4.375
51,4.403
52,4.157
53,5.021
54,4.149
55,4.283
56,4.806
57,4.023
58,4.148
59,4.190
60,3.991
61,4.012
62,4.027
63,3.960
64,4.092
65,4.031
66,4.027
67,3.968
68,3.920
69,4.094
70,3.928
71,3.939
72,3.922
73,3.972
74,3.947
75,4.545
76,4.009
77,4.040
78,4.028
79,4.322
80,3.990
81,3.978
82,4.081
83,3.988
84,4.112
85,4.080
86,4.183
87,4.126
88,4.116
