kernel,cores,mops,runtime_s
is,1,339.09,0.99
is,2,633.01,0.53
is,3,872.65,0.38
is,4,1249.80,0.27
is,5,1562.30,0.21
is,6,1882.36,0.18
is,7,2127.26,0.16
is,8,2454.58,0.14
is,9,2730.28,0.12
is,10,3009.46,0.11
is,11,3381.57,0.10
is,12,3727.22,0.09
is,13,3986.58,0.08
is,14,4248.36,0.08
is,15,4494.24,0.07
is,16,4706.99,0.07
is,17,4999.07,0.07
is,18,5307.58,0.06
is,19,5766.31,0.06
is,20,5962.15,0.06
is,21,6097.83,0.06
is,22,6286.89,0.05
is,23,6520.24,0.05
is,24,6813.12,0.05
is,25,7310.42,0.05
is,26,7660.81,0.04
is,27,7819.45,0.04
is,28,8034.32,0.04
is,29,8238.97,0.04
is,30,8448.05,0.04
is,31,8806.92,0.04
is,32,9165.75,0.04
is,33,9610.99,0.03
is,34,10051.21,0.03
is,35,10358.13,0.03
is,36,10781.48,0.03
is,37,11241.01,0.03
is,38,11714.46,0.03
is,39,12275.97,0.03
is,40,12975.93,0.03
is,41,13189.18,0.03
is,42,13540.32,0.02
is,43,14010.93,0.02
is,44,14290.76,0.02
is,45,14895.01,0.02
is,46,15270.18,0.02
is,47,15960.42,0.02
is,48,16287.90,0.02
is,49,16444.53,0.02
is,50,17080.04,0.02
is,51,17386.80,0.02
is,52,17668.59,0.02
is,53,18262.27,0.02
is,54,18530.58,0.02
is,55,18748.69,0.02
is,56,18876.13,0.02
is,57,18631.50,0.02
is,58,18882.94,0.02
is,59,19111.09,0.02
is,60,19607.11,0.02
is,61,19879.18,0.02
is,62,19738.71,0.02
is,63,19780.93,0.02
is,64,20178.64,0.02
is,65,17399.69,0.02
is,66,18507.31,0.02
is,67,18519.80,0.02
is,68,19326.73,0.02
is,69,19298.97,0.02
is,70,19426.01,0.02
is,71,19650.02,0.02
is,72,19989.19,0.02
is,73,19627.78,0.02
is,74,20400.21,0.02
is,75,20131.87,0.02
is,76,20319.62,0.02
is,77,20625.73,0.02
is,78,20644.66,0.02
is,79,20751.53,0.02
is,80,20694.35,0.02
is,81,20639.82,0.02
is,82,21317.39,0.02
is,83,21006.38,0.02
is,84,21017.97,0.02
is,85,21329.80,0.02
is,86,21443.23,0.02
is,87,21370.03,0.02
is,88,21769.34,0.02
is,89,21683.73,0.02
is,90,21642.98,0.02
is,91,21561.33,0.02
is,92,22078.43,0.02
is,93,22336.84,0.02
is,94,21988.34,0.02
is,95,21933.74,0.02
is,96,21310.64,0.02
