kernel,cores,threads,mops,runtime_s
is,1,2,467.75,0.72
is,2,4,843.93,0.40
is,3,6,1362.74,0.25
is,4,8,1739.95,0.19
is,5,10,2136.57,0.16
is,6,12,2555.03,0.13
is,7,14,2973.19,0.11
is,8,16,3283.16,0.10
is,9,18,3617.47,0.09
is,10,20,4158.53,0.08
is,11,22,4437.08,0.08
is,12,24,4679.19,0.07
is,13,26,5162.88,0.06
is,14,28,5463.72,0.06
is,15,30,5736.68,0.06
is,16,32,5966.23,0.06
is,17,34,6468.79,0.05
is,18,36,6567.46,0.05
is,19,38,6853.39,0.05
is,20,40,7459.65,0.04
is,21,42,7546.25,0.04
is,22,44,7810.71,0.04
is,23,46,8141.51,0.04
is,24,48,8590.11,0.04
is,25,50,8725.71,0.04
is,26,52,9020.73,0.04
is,27,54,9529.62,0.04
is,28,56,9735.27,0.03
is,29,58,9976.63,0.03
is,30,60,10350.83,0.03
is,31,62,10686.66,0.03
is,32,64,10826.16,0.03
is,33,66,11289.90,0.03
is,34,68,12023.97,0.03
is,35,70,12566.74,0.03
is,36,72,12927.80,0.03
is,37,74,13802.59,0.02
is,38,76,14147.42,0.02
is,39,78,14488.09,0.02
is,40,80,15345.89,0.02
is,41,82,16006.52,0.02
is,42,84,16091.60,0.02
is,43,86,16459.97,0.02
is,44,88,17234.49,0.02
is,45,90,17757.94,0.02
is,46,92,17615.36,0.02
is,47,94,18599.32,0.02
is,48,96,18606.42,0.02
is,49,98,18809.43,0.02
is,50,100,19168.42,0.02
is,51,102,19724.21,0.02
is,52,104,19559.66,0.02
is,53,106,19807.38,0.02
is,54,108,20685.55,0.02
is,55,110,20452.27,0.02
is,56,112,20305.23,0.02
is,57,114,20997.33,0.02
is,58,116,21457.20,0.02
is,59,118,20700.53,0.02
is,60,120,21307.96,0.02
is,61,122,21774.94,0.02
is,62,124,21255.72,0.02
is,63,126,21597.38,0.02
is,64,128,22260.45,0.02
is,65,130,20263.13,0.02
is,66,132,19451.80,0.02
is,67,134,20495.57,0.02
is,68,136,20430.07,0.02
is,69,138,20360.43,0.02
is,70,140,20891.53,0.02
is,71,142,20955.21,0.02
is,72,144,20623.56,0.02
is,73,146,20998.64,0.02
is,74,148,21301.55,0.02
is,75,150,21007.06,0.02
is,76,152,20967.67,0.02
is,77,154,21308.76,0.02
is,78,156,21271.62,0.02
is,79,158,20817.55,0.02
is,80,160,21048.10,0.02
is,81,162,21272.93,0.02
is,82,164,20818.64,0.02
is,83,166,20816.01,0.02
is,84,168,21250.02,0.02
is,85,170,20989.57,0.02
is,86,172,21101.57,0.02
is,87,174,21343.58,0.02
is,88,176,21565.85,0.02
is,89,178,20988.79,0.02
is,90,180,21209.26,0.02
is,91,182,21369.99,0.02
is,92,184,20971.68,0.02
is,93,186,21177.96,0.02
is,94,188,21291.71,0.02
is,95,190,20987.28,0.02
is,96,192,20942.64,0.02
