kernel,cores,mops,runtime_s
bt,1,7479.30,93.88
bt,2,14858.19,47.26
bt,3,22013.72,31.90
bt,4,29427.72,23.86
bt,5,36342.61,19.32
bt,6,43973.65,15.97
bt,7,51213.26,13.71
bt,8,58528.80,12.00
bt,9,64731.02,10.85
bt,10,71647.52,9.80
bt,11,78870.16,8.90
bt,12,86109.26,8.15
bt,13,92484.40,7.59
bt,14,100259.12,7.00
bt,15,106107.47,6.62
bt,16,113397.77,6.19
bt,17,118875.79,5.91
bt,18,126759.62,5.54
bt,19,134005.13,5.24
bt,20,139163.11,5.05
bt,21,145262.93,4.83
bt,22,152006.26,4.62
bt,23,159770.26,4.39
bt,24,166875.65,4.21
bt,25,172200.55,4.08
bt,26,178864.89,3.93
bt,27,186196.76,3.77
bt,28,194134.74,3.62
bt,29,200532.41,3.50
bt,30,206233.00,3.40
bt,31,213398.20,3.29
bt,32,220499.30,3.18
bt,33,224833.74,3.12
bt,34,230153.35,3.05
bt,35,236356.00,2.97
bt,36,245049.91,2.87
bt,37,252005.63,2.79
bt,38,258018.51,2.72
bt,39,263346.29,2.67
bt,40,269237.26,2.61
bt,41,276418.80,2.54
bt,42,283969.88,2.47
bt,43,287156.27,2.45
bt,44,294393.93,2.39
bt,45,299530.30,2.34
bt,46,306699.67,2.29
bt,47,312079.52,2.25
bt,48,317127.21,2.21
bt,49,320318.19,2.19
bt,50,319768.84,2.20
bt,51,330506.64,2.12
bt,52,341299.37,2.06
bt,53,347391.43,2.02
bt,54,353541.05,1.99
bt,55,360807.07,1.95
bt,56,368136.33,1.91
bt,57,372620.32,1.88
bt,58,380314.53,1.85
bt,59,385591.17,1.82
bt,60,390021.36,1.80
bt,61,396638.52,1.77
bt,62,404225.51,1.74
bt,63,409116.12,1.72
bt,64,414497.37,1.69
bt,65,417176.31,1.68
bt,66,419839.97,1.67
bt,67,425964.48,1.65
bt,68,428526.24,1.64
bt,69,436255.76,1.61
bt,70,442356.65,1.59
bt,71,448935.20,1.56
bt,72,454584.50,1.54
bt,73,458931.05,1.53
bt,74,463574.32,1.51
bt,75,466463.43,1.51
bt,76,465161.56,1.51
bt,77,479193.05,1.47
bt,78,485234.61,1.45
bt,79,489460.62,1.43
bt,80,494643.21,1.42
bt,81,500764.10,1.40
bt,82,506195.01,1.39
bt,83,503702.96,1.39
bt,84,513144.18,1.37
bt,85,518230.63,1.35
bt,86,519595.79,1.35
bt,87,520346.70,1.35
bt,88,526228.74,1.33
bt,89,524990.22,1.34
bt,90,526022.38,1.33
bt,91,528106.91,1.33
bt,92,531138.73,1.32
bt,93,527334.28,1.33
bt,94,531399.62,1.32
bt,95,528221.73,1.33
bt,96,528351.85,1.33
cg,1,2327.73,23.50
cg,2,4598.48,11.90
cg,3,6863.74,7.97
cg,4,9097.13,6.01
cg,5,11344.93,4.82
cg,6,13602.61,4.02
cg,7,15691.50,3.49
cg,8,17924.59,3.05
cg,9,20083.05,2.72
cg,10,22297.67,2.45
cg,11,24326.25,2.25
cg,12,26327.52,2.08
cg,13,28229.60,1.94
cg,14,30377.63,1.80
cg,15,32566.13,1.68
cg,16,34508.98,1.59
cg,17,36406.32,1.50
cg,18,38495.87,1.42
cg,19,40108.80,1.36
cg,20,40744.04,1.34
cg,21,40920.76,1.34
cg,22,42665.69,1.28
cg,23,44449.28,1.23
cg,24,46046.33,1.19
cg,25,47563.23,1.15
cg,26,48851.11,1.12
cg,27,50779.52,1.08
cg,28,52632.27,1.04
cg,29,53962.98,1.01
cg,30,55511.17,0.99
cg,31,57174.48,0.96
cg,32,58501.77,0.94
cg,33,55818.95,0.98
cg,34,57974.21,0.94
cg,35,59488.66,0.92
cg,36,60880.60,0.90
cg,37,62465.65,0.88
cg,38,63960.84,0.86
cg,39,65639.65,0.83
cg,40,66747.80,0.82
cg,41,68446.10,0.80
cg,42,69228.28,0.79
cg,43,70911.59,0.77
cg,44,72689.39,0.75
cg,45,73552.46,0.74
cg,46,74690.01,0.73
cg,47,75646.81,0.72
cg,48,77448.74,0.71
cg,49,78883.71,0.69
cg,50,80354.28,0.68
cg,51,81378.43,0.67
cg,52,79350.85,0.69
cg,53,80958.75,0.68
cg,54,82450.26,0.66
cg,55,81952.52,0.67
cg,56,83365.48,0.66
cg,57,83620.65,0.65
cg,58,85140.36,0.64
cg,59,83919.12,0.65
cg,60,85662.57,0.64
cg,61,86217.42,0.63
cg,62,87223.39,0.63
cg,63,88529.80,0.62
cg,64,88874.17,0.62
cg,65,86106.94,0.64
cg,66,86630.40,0.63
cg,67,88359.72,0.62
cg,68,88451.98,0.62
cg,69,90221.34,0.61
cg,70,91993.09,0.59
cg,71,91999.08,0.59
cg,72,93280.86,0.59
cg,73,95166.68,0.57
cg,74,95314.32,0.57
cg,75,96701.19,0.57
cg,76,97625.38,0.56
cg,77,98853.36,0.55
cg,78,99861.25,0.55
cg,79,102814.78,0.53
cg,80,104691.07,0.52
cg,81,105772.14,0.52
cg,82,106970.74,0.51
cg,83,107396.19,0.51
cg,84,108497.39,0.50
cg,85,109264.81,0.50
cg,86,108143.78,0.51
cg,87,110380.90,0.50
cg,88,110399.07,0.50
cg,89,111088.90,0.49
cg,90,112588.59,0.49
cg,91,111272.51,0.49
cg,92,112096.70,0.49
cg,93,113118.34,0.48
cg,94,110246.89,0.50
cg,95,115555.44,0.47
cg,96,115815.59,0.47
ep,1,188.49,11.39
ep,2,405.83,5.29
ep,3,607.27,3.54
ep,4,806.21,2.66
ep,5,1012.95,2.12
ep,6,1214.74,1.77
ep,7,742.38,2.89
ep,8,850.09,2.53
ep,9,955.12,2.25
ep,10,1061.44,2.02
ep,11,1166.73,1.84
ep,12,1273.51,1.69
ep,13,1380.25,1.56
ep,14,1486.62,1.44
ep,15,3021.96,0.71
ep,16,1694.32,1.27
ep,17,3433.64,0.63
ep,18,1804.64,1.19
ep,19,3842.54,0.56
ep,20,2118.51,1.01
ep,21,2227.75,0.96
ep,22,2336.51,0.92
ep,23,2442.05,0.88
ep,24,4852.79,0.44
ep,25,2653.54,0.81
ep,26,2759.02,0.78
ep,27,5444.66,0.39
ep,28,2802.96,0.77
ep,29,2907.12,0.74
ep,30,3187.03,0.67
ep,31,3290.06,0.65
ep,32,3394.36,0.63
ep,33,3499.20,0.61
ep,34,3598.93,0.60
ep,35,3708.73,0.58
ep,36,3819.31,0.56
ep,37,7438.09,0.29
ep,38,4024.98,0.53
ep,39,4137.72,0.52
ep,40,4241.73,0.51
ep,41,4342.12,0.49
ep,42,4447.77,0.48
ep,43,8638.93,0.25
ep,44,4638.16,0.46
ep,45,4777.42,0.45
ep,46,4859.83,0.44
ep,47,4979.08,0.43
ep,48,5080.34,0.42
ep,49,5203.83,0.41
ep,50,5316.02,0.40
ep,51,5393.99,0.40
ep,52,5507.91,0.39
ep,53,5612.97,0.38
ep,54,5712.89,0.38
ep,55,5500.22,0.39
ep,56,5615.17,0.38
ep,57,6033.24,0.36
ep,58,6159.68,0.35
ep,59,6249.96,0.34
ep,60,6362.22,0.34
ep,61,6484.51,0.33
ep,62,6569.89,0.33
ep,63,6671.20,0.32
ep,64,6787.89,0.32
ep,65,6504.88,0.33
ep,66,7002.10,0.31
ep,67,13137.19,0.16
ep,68,7201.99,0.30
ep,69,7326.87,0.29
ep,70,7392.03,0.29
ep,71,7520.54,0.29
ep,72,7619.22,0.28
ep,73,7751.21,0.28
ep,74,7823.04,0.27
ep,75,7916.00,0.27
ep,76,7628.26,0.28
ep,77,8145.33,0.26
ep,78,8226.16,0.26
ep,79,8344.21,0.26
ep,80,8449.09,0.25
ep,81,8543.24,0.25
ep,82,8670.58,0.25
ep,83,8318.20,0.26
ep,84,8903.26,0.24
ep,85,8481.64,0.25
ep,86,9084.68,0.24
ep,87,9178.38,0.23
ep,88,9332.93,0.23
ep,89,8851.08,0.24
ep,90,9536.53,0.23
ep,91,9102.79,0.24
ep,92,9718.38,0.22
ep,93,9815.98,0.22
ep,94,9405.07,0.23
ep,95,10013.73,0.21
ep,96,10144.39,0.21
ft,1,5338.86,17.24
ft,2,9843.77,9.35
ft,3,15032.45,6.12
ft,4,20270.24,4.54
ft,5,25500.09,3.61
ft,6,30100.90,3.06
ft,7,34822.61,2.64
ft,8,38712.43,2.38
ft,9,43266.13,2.13
ft,10,47560.87,1.94
ft,11,51731.84,1.78
ft,12,55872.16,1.65
ft,13,59715.97,1.54
ft,14,62517.14,1.47
ft,15,66469.88,1.38
ft,16,68994.53,1.33
ft,17,72338.90,1.27
ft,18,75307.73,1.22
ft,19,78554.88,1.17
ft,20,82002.38,1.12
ft,21,84730.24,1.09
ft,22,87109.59,1.06
ft,23,90009.96,1.02
ft,24,92702.48,0.99
ft,25,94727.90,0.97
ft,26,97018.65,0.95
ft,27,98306.98,0.94
ft,28,100295.95,0.92
ft,29,101927.23,0.90
ft,30,103747.35,0.89
ft,31,104274.77,0.88
ft,32,105628.94,0.87
ft,33,110070.33,0.84
ft,34,114137.84,0.81
ft,35,117937.04,0.78
ft,36,123022.76,0.75
ft,37,127631.60,0.72
ft,38,132470.31,0.69
