kernel,cores,threads,mops,runtime_s
bt,1,2,10983.42,63.93
bt,2,4,21950.95,31.99
bt,3,6,32549.22,21.57
bt,4,8,42313.50,16.59
bt,5,10,52556.10,13.36
bt,6,12,63319.21,11.09
bt,7,14,73053.91,9.61
bt,8,16,82644.70,8.50
bt,9,18,93151.84,7.54
bt,10,20,101719.04,6.90
bt,11,22,112148.16,6.26
bt,12,24,123708.84,5.68
bt,13,26,132176.51,5.31
bt,14,28,142636.00,4.92
bt,15,30,150925.80,4.65
bt,16,32,163026.03,4.31
bt,17,34,171088.59,4.10
bt,18,36,179971.32,3.90
bt,19,38,186292.48,3.77
bt,20,40,194721.25,3.61
bt,21,42,205648.40,3.41
bt,22,44,213357.11,3.29
bt,23,46,224323.35,3.13
bt,24,48,232777.26,3.02
bt,25,50,242290.54,2.90
bt,26,52,252685.00,2.78
bt,27,54,260058.41,2.70
bt,28,56,269668.40,2.60
bt,29,58,281057.98,2.50
bt,30,60,288606.85,2.43
bt,31,62,297686.21,2.36
bt,32,64,272722.67,2.57
bt,33,66,313811.47,2.24
bt,34,68,320973.67,2.19
bt,35,70,331816.22,2.12
bt,36,72,339296.59,2.07
bt,37,74,346825.73,2.02
bt,38,76,358261.49,1.96
bt,39,78,369269.02,1.90
bt,40,80,379434.08,1.85
bt,41,82,389216.29,1.80
bt,42,84,398170.45,1.76
bt,43,86,405440.96,1.73
bt,44,88,409689.91,1.71
bt,45,90,421170.05,1.67
bt,46,92,425943.43,1.65
bt,47,94,433474.53,1.62
bt,48,96,436528.45,1.61
bt,49,98,384254.26,1.83
bt,50,100,413503.55,1.70
bt,51,102,449528.02,1.56
bt,52,104,469883.05,1.49
bt,53,106,479048.54,1.47
bt,54,108,489454.72,1.43
bt,55,110,498916.58,1.41
bt,56,112,507302.62,1.38
bt,57,114,513706.19,1.37
bt,58,116,519436.67,1.35
bt,59,118,527392.53,1.33
bt,60,120,532177.82,1.32
bt,61,122,540369.67,1.30
bt,62,124,540560.73,1.30
bt,63,126,549112.79,1.28
bt,64,128,558138.79,1.26
bt,65,130,563194.30,1.25
bt,66,132,445338.54,1.58
bt,67,134,445334.87,1.58
bt,68,136,575054.81,1.22
bt,69,138,575837.63,1.22
bt,70,140,580370.36,1.21
bt,71,142,456652.58,1.54
bt,72,144,589293.05,1.19
bt,73,146,593687.74,1.18
bt,74,148,597961.00,1.17
bt,75,150,601456.91,1.17
bt,76,152,612795.51,1.15
bt,77,154,622123.74,1.13
bt,78,156,623967.08,1.13
bt,79,158,626944.24,1.12
bt,80,160,630328.48,1.11
bt,81,162,636335.14,1.10
bt,82,164,641226.32,1.10
bt,83,166,632837.94,1.11
bt,84,168,639731.14,1.10
bt,85,170,644600.82,1.09
bt,86,172,583446.25,1.20
bt,87,174,647508.57,1.08
bt,88,176,649670.85,1.08
bt,89,178,653418.64,1.07
bt,90,180,659010.67,1.07
bt,91,182,667632.29,1.05
bt,92,184,664139.93,1.06
bt,93,186,669142.01,1.05
bt,94,188,671186.47,1.05
bt,95,190,673810.75,1.04
bt,96,192,671233.39,1.05
cg,1,2,3216.43,17.01
cg,2,4,6215.59,8.80
cg,3,6,9414.21,5.81
cg,4,8,12451.90,4.39
cg,5,10,15542.24,3.52
cg,6,12,18511.36,2.96
cg,7,14,21489.55,2.55
cg,8,16,24249.81,2.26
cg,9,18,27253.00,2.01
cg,10,20,30137.62,1.82
cg,11,22,32626.32,1.68
cg,12,24,35537.14,1.54
cg,13,26,38055.85,1.44
cg,14,28,40601.88,1.35
cg,15,30,43232.38,1.27
cg,16,32,45013.57,1.22
cg,17,34,41476.19,1.32
cg,18,36,32226.64,1.70
cg,19,38,34261.15,1.60
cg,20,40,36032.08,1.52
cg,21,42,41690.81,1.31
cg,22,44,42806.10,1.28
cg,23,46,42781.39,1.28
cg,24,48,44624.55,1.23
cg,25,50,46556.65,1.18
cg,26,52,48096.00,1.14
cg,27,54,49905.75,1.10
cg,28,56,51791.04,1.06
cg,29,58,53642.02,1.02
cg,30,60,55315.99,0.99
cg,31,62,56954.01,0.96
cg,32,64,58598.55,0.93
cg,33,66,56329.06,0.97
cg,34,68,57895.60,0.94
cg,35,70,59225.81,0.92
cg,36,72,60873.33,0.90
cg,37,74,61968.42,0.88
cg,38,76,63085.82,0.87
cg,39,78,63971.78,0.86
cg,40,80,64877.65,0.84
cg,41,82,66185.09,0.83
cg,42,84,67286.70,0.81
cg,43,86,68286.01,0.80
cg,44,88,69048.85,0.79
cg,45,90,69882.25,0.78
cg,46,92,71269.03,0.77
cg,47,94,72437.48,0.76
cg,48,96,72665.11,0.75
cg,49,98,74730.27,0.73
cg,50,100,73767.33,0.74
cg,51,102,72280.04,0.76
cg,52,104,76168.66,0.72
cg,53,106,76497.56,0.72
cg,54,108,78136.30,0.70
cg,55,110,77382.04,0.71
cg,56,112,78571.13,0.70
cg,57,114,78774.88,0.69
cg,58,116,79774.79,0.69
cg,59,118,80712.43,0.68
cg,60,120,81094.74,0.67
cg,61,122,82587.60,0.66
cg,62,124,83983.91,0.65
cg,63,126,84908.57,0.64
cg,64,128,85566.84,0.64
cg,65,130,82544.83,0.66
cg,66,132,83291.43,0.66
cg,67,134,82791.85,0.66
cg,68,136,83914.92,0.65
cg,69,138,83297.90,0.66
cg,70,140,84459.77,0.65
cg,71,142,84872.61,0.64
cg,72,144,84230.22,0.65
cg,73,146,84842.99,0.64
cg,74,148,85639.14,0.64
cg,75,150,86148.39,0.64
cg,76,152,86432.89,0.63
cg,77,154,85415.83,0.64
cg,78,156,85216.35,0.64
cg,79,158,85033.44,0.64
cg,80,160,85263.23,0.64
cg,81,162,87626.43,0.62
cg,82,164,83901.94,0.65
cg,83,166,82149.35,0.67
cg,84,168,85693.91,0.64
cg,85,170,92256.58,0.59
cg,86,172,84192.24,0.65
cg,87,174,84037.34,0.65
cg,88,176,86778.92,0.63
cg,89,178,88606.96,0.62
cg,90,180,79633.18,0.69
cg,91,182,76082.05,0.72
cg,92,184,77659.14,0.70
cg,93,186,83977.76,0.65
cg,94,188,77293.45,0.71
cg,95,190,72186.43,0.76
cg,96,192,75146.70,0.73
ep,1,2,278.50,7.71
ep,2,4,556.28,3.86
ep,3,6,833.88,2.58
ep,4,8,1109.98,1.93
ep,5,10,1390.90,1.54
ep,6,12,1665.15,1.29
ep,7,14,1943.98,1.10
ep,8,16,1655.22,1.30
ep,9,18,2471.43,0.87
ep,10,20,2773.50,0.77
ep,11,22,2274.82,0.94
ep,12,24,2479.24,0.87
ep,13,26,2686.77,0.80
ep,14,28,2887.76,0.74
ep,15,30,3091.79,0.69
ep,16,32,3290.35,0.65
ep,17,34,3512.55,0.61
ep,18,36,3715.37,0.58
ep,19,38,3709.39,0.58
ep,20,40,4135.75,0.52
ep,21,42,4098.06,0.52
ep,22,44,4523.82,0.47
ep,23,46,4741.21,0.45
ep,24,48,4665.30,0.46
ep,25,50,5149.03,0.42
ep,26,52,5071.39,0.42
ep,27,54,7394.14,0.29
ep,28,56,5764.20,0.37
ep,29,58,5996.06,0.36
ep,30,60,5831.18,0.37
ep,31,62,6374.34,0.34
ep,32,64,6570.33,0.33
ep,33,66,6796.07,0.32
ep,34,68,6976.34,0.31
ep,35,70,7208.61,0.30
ep,36,72,7408.97,0.29
ep,37,74,7616.24,0.28
ep,38,76,7376.64,0.29
ep,39,78,8002.42,0.27
ep,40,80,8236.59,0.26
ep,41,82,8446.09,0.25
ep,42,84,8650.64,0.25
ep,43,86,8839.66,0.24
ep,44,88,8547.63,0.25
ep,45,90,8693.79,0.25
ep,46,92,9369.30,0.23
ep,47,94,9636.22,0.22
ep,48,96,9870.25,0.22
ep,49,98,9537.98,0.23
ep,50,100,10167.43,0.21
ep,51,102,10474.25,0.21
ep,52,104,10570.48,0.20
ep,53,106,10875.85,0.20
ep,54,108,10872.45,0.20
ep,55,110,11298.59,0.19
ep,56,112,10914.41,0.20
ep,57,114,11681.76,0.18
ep,58,116,11249.62,0.19
ep,59,118,12026.44,0.18
ep,60,120,12257.45,0.18
ep,61,122,11821.55,0.18
ep,62,124,12735.49,0.17
ep,63,126,12961.52,0.17
ep,64,128,12443.65,0.17
ep,65,130,13351.50,0.16
ep,66,132,13319.86,0.16
ep,67,134,13704.22,0.16
ep,68,136,13263.22,0.16
ep,69,138,13365.52,0.16
ep,70,140,14317.54,0.15
ep,71,142,13812.55,0.16
ep,72,144,13575.16,0.16
ep,73,146,14219.26,0.15
ep,74,148,14480.72,0.15
ep,75,150,15293.07,0.14
ep,76,152,14708.26,0.15
ep,77,154,14777.03,0.15
ep,78,156,15093.18,0.14
ep,79,158,16040.07,0.13
ep,80,160,16172.17,0.13
ep,81,162,15616.02,0.14
ep,82,164,15706.50,0.14
ep,83,166,16683.20,0.13
ep,84,168,16166.73,0.13
ep,85,170,17020.09,0.13
ep,86,172,16104.49,0.13
ep,87,174,16492.42,0.13
ep,88,176,16556.24,0.13
ep,89,178,17519.57,0.12
ep,90,180,16877.79,0.13
ep,91,182,17040.19,0.13
ep,92,184,17180.02,0.12
ep,93,186,17302.99,0.12
ep,94,188,17383.45,0.12
ep,95,190,17451.12,0.12
ep,96,192,17871.86,0.12
ft,1,2,7762.40,11.86
ft,2,4,15476.12,5.95
ft,3,6,23386.69,3.94
ft,4,8,30384.13,3.03
ft,5,10,38356.99,2.40
ft,6,12,45111.55,2.04
ft,7,14,51923.27,1.77
ft,8,16,57677.52,1.60
ft,9,18,63843.98,1.44
ft,10,20,69204.26,1.33
ft,11,22,73889.25,1.25
ft,12,24,79136.83,1.16
ft,13,26,83959.35,1.10
ft,14,28,88293.79,1.04
ft,15,30,91802.61,1.00
ft,16,32,96602.36,0.95
ft,17,34,100741.37,0.91
ft,18,36,104206.35,0.88
ft,19,38,109139.03,0.84
ft,20,40,109435.48,0.84
ft,21,42,110998.17,0.83
ft,22,44,114819.12,0.80
ft,23,46,116633.66,0.79
ft,24,48,118009.36,0.78
ft,25,50,119999.35,0.77
ft,26,52,121725.56,0.76
ft,27,54,122511.37,0.75
ft,28,56,124310.67,0.74
ft,29,58,124726.19,0.74
ft,30,60,126246.38,0.73
ft,31,62,126765.57,0.73
ft,32,64,127072.80,0.72
ft,33,66,133210.70,0.69
ft,34,68,137120.72,0.67
ft,35,70,142494.22,0.65
ft,36,72,147012.95,0.63
ft,37,74,151459.25,0.61
ft,38,76,157438.24,0.58
ft,39,78,162909.86,0.57
ft,40,80,167941.49,0.55
ft,41,82,172224.51,0.53
ft,42,84,176279.74,0.52
ft,43,86,177877.97,0.52
ft,44,88,185159.43,0.50
ft,45,90,192228.70,0.48
ft,46,92,196506.02,0.47
ft,47,94,203370.37,0.45
ft,48,96,207039.60,0.44
ft,49,98,213148.20,0.43
ft,50,100,218116.71,0.42
ft,51,102,218930.89,0.42
ft,52,104,226893.79,0.41
ft,53,106,235153.35,0.39
ft,54,108,242523.29,0.38
ft,55,110,248362.77,0.37
ft,56,112,255731.16,0.36
ft,57,114,264220.83,0.35
ft,58,116,267302.98,0.34
ft,59,118,272667.39,0.34
ft,60,120,274201.04,0.34
ft,61,122,277348.52,0.33
ft,62,124,286137.42,0.32
ft,63,126,288705.20,0.32
ft,64,128,291243.72,0.32
ft,65,130,295828.04,0.31
ft,66,132,297834.85,0.31
ft,67,134,304480.79,0.30
ft,68,136,314613.39,0.29
ft,69,138,327082.14,0.28
ft,70,140,332707.06,0.28
ft,71,142,342889.70,0.27
ft,72,144,344490.13,0.27
ft,73,146,345188.66,0.27
ft,74,148,352213.59,0.26
ft,75,150,353737.73,0.26
ft,76,152,358441.06,0.26
ft,77,154,361771.95,0.25
ft,78,156,361026.87,0.25
ft,79,158,376306.81,0.24
ft,80,160,375086.78,0.25
ft,81,162,380533.65,0.24
ft,82,164,380125.53,0.24
ft,83,166,384149.30,0.24
ft,84,168,380329.79,0.24
ft,85,170,389229.94,0.24
ft,86,172,389888.06,0.24
