kernel,cores,mops,runtime_s
bt,1,8086.08,86.84
bt,2,15960.99,43.99
bt,3,24111.27,29.12
bt,4,32108.40,21.87
bt,5,39740.21,17.67
bt,6,47694.66,14.72
bt,7,55664.87,12.61
bt,8,63488.08,11.06
bt,9,71364.32,9.84
bt,10,79483.70,8.83
bt,11,87871.68,7.99
bt,12,95592.31,7.35
bt,13,103464.47,6.79
bt,14,111747.16,6.28
bt,15,119745.11,5.86
bt,16,127501.37,5.51
bt,17,135138.52,5.20
bt,18,143228.11,4.90
bt,19,150714.35,4.66
bt,20,158418.58,4.43
bt,21,166530.63,4.22
bt,22,174406.66,4.03
bt,23,182137.26,3.86
bt,24,189447.91,3.71
bt,25,197360.77,3.56
bt,26,204874.33,3.43
bt,27,212488.77,3.30
bt,28,220496.56,3.18
bt,29,227813.74,3.08
bt,30,235012.77,2.99
bt,31,242589.09,2.89
bt,32,250100.93,2.81
bt,33,257935.39,2.72
bt,34,265496.21,2.64
bt,35,272905.72,2.57
bt,36,280076.43,2.51
bt,37,288052.59,2.44
bt,38,295174.51,2.38
bt,39,302514.45,2.32
bt,40,309881.73,2.27
bt,41,318294.89,2.21
bt,42,325070.13,2.16
bt,43,331822.92,2.12
bt,44,340018.15,2.07
bt,45,345949.26,2.03
bt,46,354387.19,1.98
bt,47,363024.91,1.93
bt,48,370510.80,1.90
bt,49,378737.32,1.85
bt,50,385471.90,1.82
bt,51,392213.56,1.79
bt,52,399464.60,1.76
bt,53,407195.35,1.72
bt,54,414630.53,1.69
bt,55,421559.91,1.67
bt,56,429555.28,1.63
bt,57,437748.88,1.60
bt,58,446116.51,1.57
bt,59,453462.95,1.55
bt,60,460846.09,1.52
bt,61,466206.93,1.51
bt,62,470103.15,1.49
bt,63,482634.10,1.45
bt,64,485177.32,1.45
bt,65,493616.35,1.42
bt,66,503336.75,1.40
bt,67,508379.06,1.38
bt,68,513731.18,1.37
bt,69,521414.55,1.35
bt,70,527963.06,1.33
bt,71,535491.19,1.31
bt,72,541413.43,1.30
cg,1,2694.64,20.30
cg,2,4861.53,11.25
cg,3,7829.08,6.99
cg,4,10586.66,5.17
cg,5,12886.73,4.25
cg,6,15319.49,3.57
cg,7,17671.77,3.10
cg,8,20137.94,2.72
cg,9,22058.48,2.48
cg,10,24823.55,2.20
cg,11,26791.48,2.04
cg,12,22335.05,2.45
cg,13,28057.74,1.95
cg,14,32448.79,1.69
cg,15,30731.12,1.78
cg,16,36273.00,1.51
cg,17,26120.28,2.09
cg,18,27039.73,2.02
cg,19,41355.77,1.32
cg,20,43029.54,1.27
cg,21,36383.23,1.50
cg,22,45718.98,1.20
cg,23,48024.89,1.14
cg,24,47150.88,1.16
cg,25,51756.95,1.06
cg,26,43824.96,1.25
cg,27,53855.78,1.02
cg,28,46125.70,1.19
cg,29,56541.45,0.97
cg,30,57153.13,0.96
cg,31,57564.65,0.95
cg,32,60045.02,0.91
cg,33,51853.64,1.06
cg,34,60317.30,0.91
cg,35,66363.15,0.82
cg,36,66667.11,0.82
cg,37,67496.89,0.81
cg,38,67539.28,0.81
cg,39,68685.46,0.80
cg,40,71653.41,0.76
cg,41,72224.98,0.76
cg,42,73876.30,0.74
cg,43,75354.98,0.73
cg,44,78639.05,0.70
cg,45,81303.42,0.67
cg,46,82178.53,0.67
cg,47,80903.99,0.68
cg,48,84153.39,0.65
cg,49,80711.71,0.68
cg,50,86766.22,0.63
cg,51,88626.69,0.62
cg,52,74986.41,0.73
cg,53,87575.22,0.62
cg,54,92227.35,0.59
cg,55,79235.65,0.69
cg,56,91987.12,0.59
cg,57,79027.35,0.69
cg,58,66875.04,0.82
cg,59,95809.69,0.57
cg,60,96112.52,0.57
cg,61,96616.84,0.57
cg,62,97292.23,0.56
cg,63,91350.66,0.60
cg,64,97842.59,0.56
cg,65,98695.79,0.55
cg,66,97155.75,0.56
cg,67,100873.77,0.54
cg,68,97994.08,0.56
cg,69,91648.26,0.60
cg,70,99353.36,0.55
cg,71,91230.09,0.60
cg,72,103094.75,0.53
ep,1,187.11,11.48
ep,2,374.70,5.73
ep,3,562.27,3.82
ep,4,749.33,2.87
ep,5,934.90,2.30
ep,6,1124.04,1.91
ep,7,1313.69,1.63
ep,8,1500.65,1.43
ep,9,1680.59,1.28
ep,10,1870.43,1.15
ep,11,2051.49,1.05
ep,12,2244.61,0.96
ep,13,2439.90,0.88
ep,14,2621.43,0.82
ep,15,2798.86,0.77
ep,16,2986.63,0.72
ep,17,3190.18,0.67
ep,18,3352.47,0.64
ep,19,3551.93,0.60
ep,20,3751.80,0.57
ep,21,3908.75,0.55
ep,22,4117.02,0.52
ep,23,4291.76,0.50
ep,24,4502.08,0.48
ep,25,4686.77,0.46
ep,26,4868.78,0.44
ep,27,5019.54,0.43
ep,28,5223.31,0.41
ep,29,5411.29,0.40
ep,30,5575.69,0.39
ep,31,5820.01,0.37
ep,32,5955.41,0.36
ep,33,6120.28,0.35
ep,34,6375.49,0.34
ep,35,6535.27,0.33
ep,36,6723.19,0.32
ep,37,6913.28,0.31
ep,38,7075.41,0.30
ep,39,7261.29,0.30
ep,40,7527.55,0.29
ep,41,7710.23,0.28
ep,42,7881.74,0.27
ep,43,7973.30,0.27
ep,44,8153.48,0.26
ep,45,8420.19,0.26
ep,46,8509.88,0.25
ep,47,8821.16,0.24
ep,48,8847.42,0.24
ep,49,9073.63,0.24
ep,50,9371.03,0.23
ep,51,9529.43,0.23
ep,52,9698.23,0.22
ep,53,9872.46,0.22
ep,54,10071.09,0.21
ep,55,10272.73,0.21
ep,56,10422.20,0.21
ep,57,10609.66,0.20
ep,58,10795.97,0.20
ep,59,10983.83,0.20
ep,60,11129.40,0.19
ep,61,11315.04,0.19
ep,62,11342.50,0.19
ep,63,11644.34,0.18
ep,64,11835.11,0.18
ep,65,12014.57,0.18
ep,66,12419.82,0.17
ep,67,12597.63,0.17
ep,68,12568.40,0.17
ep,69,12725.95,0.17
ep,70,12884.10,0.17
ep,71,13354.99,0.16
ep,72,13529.66,0.16
ft,1,6452.66,14.27
ft,2,12794.95,7.19
ft,3,19179.47,4.80
ft,4,25178.56,3.66
ft,5,31417.58,2.93
ft,6,37516.16,2.45
ft,7,43642.28,2.11
ft,8,48767.99,1.89
ft,9,54658.47,1.68
ft,10,59868.20,1.54
ft,11,66479.03,1.38
ft,12,71793.83,1.28
ft,13,77166.38,1.19
ft,14,81278.90,1.13
ft,15,86383.38,1.07
ft,16,90865.44,1.01
ft,17,96122.13,0.96
ft,18,102741.73,0.90
ft,19,106343.79,0.87
ft,20,111493.51,0.83
ft,21,114931.84,0.80
ft,22,118781.10,0.77
ft,23,125630.38,0.73
ft,24,128854.75,0.71
ft,25,132093.00,0.70
ft,26,138078.59,0.67
ft,27,139513.69,0.66
ft,28,146143.74,0.63
ft,29,146440.99,0.63
ft,30,151888.29,0.61
ft,31,152469.57,0.60
ft,32,154627.25,0.60
ft,33,163076.22,0.56
ft,34,164608.84,0.56
ft,35,168921.87,0.54
ft,36,169479.81,0.54
ft,37,171548.51,0.54
ft,38,176489.53,0.52
ft,39,177081.12,0.52
ft,40,181987.51,0.51
ft,41,184178.05,0.50
ft,42,184028.75,0.50
ft,43,185449.76,0.50
ft,44,191550.18,0.48
ft,45,193728.01,0.48
ft,46,192487.53,0.48
ft,47,195932.90,0.47
ft,48,195962.00,0.47
ft,49,195601.89,0.47
ft,50,199476.66,0.46
ft,51,203408.62,0.45
ft,52,198544.95,0.46
ft,53,202725.09,0.45
ft,54,211869.90,0.43
ft,55,208087.31,0.44
ft,56,209872.49,0.44
ft,57,213871.83,0.43
ft,58,212336.38,0.43
ft,59,210421.55,0.44
ft,60,221898.28,0.41
ft,61,216253.66,0.43
ft,62,221406.49,0.42
ft,63,213270.93,0.43
ft,64,221187.87,0.42
ft,65,223012.65,0.41
ft,66,222598.07,0.41
ft,67,223281.86,0.41
ft,68,224604.21,0.41
ft,69,230944.34,0.40
ft,70,226063.87,0.41
ft,71,232696.14,0.40
ft,72,234372.29,0.39
is,1,421.83,0.80
is,2,827.82,0.41
is,3,1243.50,0.27
is,4,1665.60,0.20
is,5,2034.56,0.16
is,6,2475.15,0.14
is,7,2860.38,0.12
is,8,3248.70,0.10
is,9,3614.92,0.09
is,10,4016.23,0.08
is,11,4362.40,0.08
is,12,4707.72,0.07
is,13,5341.16,0.06
is,14,5484.04,0.06
is,15,6107.51,0.05
is,16,6507.73,0.05
is,17,6854.06,0.05
is,18,7242.33,0.05
is,19,7601.51,0.04
is,20,7456.02,0.05
is,21,7819.08,0.04
is,22,8693.21,0.04
is,23,8370.74,0.04
is,24,9409.70,0.04
is,25,8893.47,0.04
is,26,10088.51,0.03
is,27,10428.17,0.03
is,28,9708.07,0.03
is,29,10982.83,0.03
is,30,11276.13,0.03
is,31,11595.60,0.03
is,32,10654.34,0.03
is,33,10933.59,0.03
is,34,12307.04,0.03
is,35,12598.14,0.03
is,36,12928.90,0.03
is,37,13133.04,0.03
is,38,13308.58,0.03
is,39,13570.21,0.02
is,40,13712.80,0.02
is,41,13926.22,0.02
is,42,14278.20,0.02
is,43,14529.61,0.02
is,44,14685.81,0.02
is,45,14988.24,0.02
is,46,14985.16,0.02
is,47,13676.23,0.02
is,48,13872.68,0.02
