kernel,cores,mops,runtime_s
is,1,621.16,0.54
is,2,1182.07,0.28
is,3,1716.31,0.20
is,4,2200.24,0.15
is,5,2569.21,0.13
is,6,2775.59,0.12
is,7,2899.81,0.12
is,8,2993.85,0.11
is,9,3263.90,0.10
is,10,3658.35,0.09
is,11,4000.06,0.08
is,12,4356.97,0.08
is,13,4757.12,0.07
is,14,5080.37,0.07
is,15,5463.93,0.06
is,16,5943.60,0.06
is,17,6033.90,0.06
is,18,6249.88,0.05
is,19,6648.39,0.05
is,20,6877.09,0.05
is,21,7155.91,0.05
is,22,7226.29,0.05
is,23,7675.56,0.04
is,24,8063.75,0.04
is,25,8136.85,0.04
is,26,8339.78,0.04
is,27,8511.80,0.04
is,28,8613.85,0.04
is,29,8597.28,0.04
is,30,8570.47,0.04
is,31,8621.14,0.04
is,32,8933.60,0.04
is,33,8906.39,0.04
is,34,8959.86,0.04
is,35,9058.74,0.04
is,36,9169.52,0.04
is,37,9156.12,0.04
is,38,9515.82,0.04
is,39,9604.36,0.03
is,40,9760.33,0.03
is,41,10008.03,0.03
is,42,10342.97,0.03
is,43,10581.36,0.03
is,44,10536.87,0.03
is,45,10573.43,0.03
is,46,10799.85,0.03
is,47,10986.35,0.03
is,48,10904.43,0.03
is,49,11124.03,0.03
is,50,11336.09,0.03
is,51,11380.22,0.03
is,52,11435.96,0.03
is,53,11689.61,0.03
is,54,11490.60,0.03
is,55,11477.96,0.03
is,56,11827.83,0.03
is,57,11787.66,0.03
is,58,11976.94,0.03
is,59,12228.90,0.03
is,60,12028.44,0.03
is,61,12175.73,0.03
is,62,12602.34,0.03
is,63,12783.92,0.03
is,64,12745.64,0.03
is,65,13136.64,0.03
is,66,13072.02,0.03
is,67,12823.42,0.03
is,68,12722.33,0.03
is,69,12864.43,0.03
is,70,12806.49,0.03
is,71,13069.51,0.03
is,72,13098.00,0.03
is,73,13379.04,0.03
is,74,13699.61,0.02
is,75,13799.20,0.02
is,76,13810.37,0.02
is,77,14083.41,0.02
is,78,14195.56,0.02
is,79,14072.63,0.02
is,80,14210.78,0.02
is,81,14325.71,0.02
is,82,14209.42,0.02
is,83,14005.07,0.02
is,84,13960.37,0.02
is,85,14228.42,0.02
is,86,14149.66,0.02
is,87,14132.56,0.02
is,88,14320.67,0.02
is,89,14499.09,0.02
is,90,14591.20,0.02
is,91,14854.22,0.02
is,92,14795.34,0.02
is,93,14785.31,0.02
is,94,14860.95,0.02
is,95,15160.70,0.02
is,96,14724.39,0.02
