kernel,cores,mops,runtime_s
bt,1,9108.76,77.09
bt,2,17773.09,39.51
bt,3,26333.79,26.66
bt,4,34071.13,20.61
bt,5,41670.74,16.85
bt,6,48567.67,14.46
bt,7,55144.28,12.73
bt,8,60000.24,11.70
bt,9,61140.43,11.48
bt,10,68132.28,10.31
bt,11,80543.89,8.72
bt,12,89742.59,7.82
bt,13,96355.68,7.29
bt,14,104913.24,6.69
bt,15,113448.36,6.19
bt,16,120940.33,5.81
bt,17,125263.81,5.61
bt,18,135873.02,5.17
bt,19,142706.83,4.92
bt,20,150809.12,4.66
bt,21,161202.74,4.36
bt,22,167743.91,4.19
bt,23,174848.45,4.02
bt,24,184305.37,3.81
bt,25,186214.95,3.77
bt,26,193351.90,3.63
bt,27,202028.68,3.48
bt,28,207081.12,3.39
bt,29,216497.24,3.24
bt,30,222202.38,3.16
bt,31,227230.96,3.09
bt,32,236319.83,2.97
bt,33,241958.90,2.90
bt,34,240581.07,2.92
bt,35,245139.89,2.86
bt,36,257895.57,2.72
bt,37,263348.28,2.67
bt,38,268920.01,2.61
bt,39,275156.24,2.55
bt,40,280256.37,2.51
bt,41,286134.63,2.45
bt,42,291073.69,2.41
bt,43,297010.54,2.36
bt,44,304535.25,2.31
bt,45,308299.56,2.28
bt,46,315497.78,2.23
bt,47,313696.60,2.24
bt,48,319125.25,2.20
bt,49,326306.34,2.15
bt,50,325434.77,2.16
bt,51,334847.21,2.10
bt,52,339305.99,2.07
bt,53,341448.68,2.06
bt,54,349047.20,2.01
bt,55,352576.15,1.99
bt,56,357808.17,1.96
bt,57,358144.09,1.96
bt,58,364864.93,1.92
bt,59,367437.24,1.91
bt,60,371758.72,1.89
bt,61,375174.88,1.87
bt,62,379598.35,1.85
bt,63,384398.81,1.83
bt,64,388994.19,1.81
bt,65,392454.35,1.79
bt,66,395149.71,1.78
bt,67,397523.88,1.77
bt,68,399250.08,1.76
bt,69,404553.18,1.74
bt,70,407010.60,1.73
bt,71,409677.04,1.71
bt,72,414817.27,1.69
bt,73,416763.85,1.68
bt,74,419590.44,1.67
bt,75,421626.19,1.67
bt,76,427011.79,1.64
bt,77,429071.56,1.64
bt,78,430449.78,1.63
bt,79,433986.39,1.62
bt,80,439252.15,1.60
bt,81,439182.76,1.60
bt,82,439984.61,1.60
bt,83,443225.81,1.58
bt,84,446962.39,1.57
bt,85,449958.33,1.56
bt,86,451248.92,1.56
bt,87,454433.30,1.55
bt,88,460504.67,1.52
bt,89,461907.83,1.52
bt,90,462752.95,1.52
bt,91,462124.14,1.52
bt,92,465426.96,1.51
bt,93,470027.25,1.49
bt,94,470352.44,1.49
bt,95,474630.69,1.48
