kernel,cores,mops,runtime_s
bt,1,9347.56,75.12
bt,2,18811.15,37.33
bt,3,28532.27,24.61
bt,4,38047.93,18.46
bt,5,47956.98,14.64
bt,6,57409.98,12.23
bt,7,67258.41,10.44
bt,8,76767.51,9.15
bt,9,86865.34,8.08
bt,10,96150.72,7.30
bt,11,105475.04,6.66
bt,12,114575.64,6.13
bt,13,125399.47,5.60
bt,14,135052.64,5.20
bt,15,144194.71,4.87
bt,16,154276.84,4.55
bt,17,162504.90,4.32
bt,18,173367.94,4.05
bt,19,182881.03,3.84
bt,20,191092.30,3.67
bt,21,200341.89,3.50
bt,22,211165.00,3.33
bt,23,220639.67,3.18
bt,24,230220.77,3.05
bt,25,238235.06,2.95
bt,26,247552.76,2.84
bt,27,257354.08,2.73
bt,28,266881.29,2.63
bt,29,276918.63,2.54
bt,30,285377.99,2.46
bt,31,296300.49,2.37
bt,32,304700.32,2.30
bt,33,312991.84,2.24
bt,34,318877.66,2.20
bt,35,329700.52,2.13
bt,36,339554.82,2.07
bt,37,349418.50,2.01
bt,38,358767.98,1.96
bt,39,369297.19,1.90
bt,40,378137.39,1.86
bt,41,388144.03,1.81
bt,42,397434.82,1.77
bt,43,405975.35,1.73
bt,44,415163.49,1.69
bt,45,424084.21,1.66
bt,46,432490.77,1.62
bt,47,441761.09,1.59
bt,48,451262.44,1.56
bt,49,459158.71,1.53
bt,50,463499.85,1.51
bt,51,475174.39,1.48
bt,52,482814.12,1.45
bt,53,493115.09,1.42
bt,54,502273.59,1.40
bt,55,512553.13,1.37
bt,56,520096.85,1.35
bt,57,529405.29,1.33
bt,58,538688.38,1.30
bt,59,546941.35,1.28
bt,60,555770.13,1.26
bt,61,565010.13,1.24
bt,62,572821.34,1.23
bt,63,580913.94,1.21
bt,64,588673.30,1.19
bt,65,596321.86,1.18
bt,66,605180.92,1.16
bt,67,610109.44,1.15
bt,68,619263.85,1.13
bt,69,629738.04,1.12
bt,70,636856.62,1.10
bt,71,645544.01,1.09
bt,72,653591.18,1.07
bt,73,660140.27,1.06
bt,74,663878.30,1.06
bt,75,675486.70,1.04
bt,76,681137.56,1.03
bt,77,691172.98,1.02
bt,78,696021.78,1.01
bt,79,703302.82,1.00
bt,80,709268.41,0.99
bt,81,718306.73,0.98
bt,82,726868.46,0.97
bt,83,732712.60,0.96
bt,84,738511.97,0.95
bt,85,746975.35,0.94
bt,86,752637.00,0.93
bt,87,761071.64,0.92
bt,88,741141.70,0.95
cg,1,3567.82,15.33
cg,2,6933.85,7.89
cg,3,10543.23,5.19
cg,4,13968.83,3.92
cg,5,17517.17,3.12
cg,6,20556.53,2.66
cg,7,24090.00,2.27
cg,8,27477.78,1.99
cg,9,30804.53,1.78
cg,10,34112.51,1.60
cg,11,36432.95,1.50
cg,12,40885.78,1.34
cg,13,43996.61,1.24
cg,14,47395.42,1.15
cg,15,50302.64,1.09
cg,16,54033.84,1.01
cg,17,56336.46,0.97
cg,18,59975.89,0.91
cg,19,62428.80,0.88
cg,20,65939.22,0.83
cg,21,67611.98,0.81
cg,22,72313.76,0.76
cg,23,74949.37,0.73
cg,24,77865.24,0.70
cg,25,81038.18,0.68
cg,26,81591.74,0.67
cg,27,86779.89,0.63
cg,28,89662.84,0.61
cg,29,90629.12,0.60
cg,30,93181.23,0.59
cg,31,97063.63,0.56
cg,32,98417.09,0.56
cg,33,97124.89,0.56
cg,34,102907.07,0.53
cg,35,106661.84,0.51
cg,36,109317.28,0.50
cg,37,112971.28,0.48
cg,38,113363.13,0.48
cg,39,114002.03,0.48
cg,40,119125.98,0.46
cg,41,116889.10,0.47
cg,42,122273.84,0.45
cg,43,122527.73,0.45
cg,44,126207.60,0.43
cg,45,128168.99,0.43
cg,46,128843.58,0.42
cg,47,126711.23,0.43
cg,48,133959.71,0.41
cg,49,134541.78,0.41
cg,50,138460.20,0.40
cg,51,139601.56,0.39
cg,52,141940.37,0.39
cg,53,143829.22,0.38
cg,54,145528.10,0.38
cg,55,147138.15,0.37
cg,56,149868.49,0.37
cg,57,149485.78,0.37
cg,58,152678.06,0.36
cg,59,155110.30,0.35
cg,60,154230.07,0.35
cg,61,154752.09,0.35
cg,62,155774.13,0.35
cg,63,160484.14,0.34
cg,64,162213.72,0.34
cg,65,158155.61,0.35
cg,66,163844.21,0.33
cg,67,164058.97,0.33
cg,68,168292.19,0.33
cg,69,167215.79,0.33
cg,70,160145.27,0.34
cg,71,159831.44,0.34
cg,72,168320.41,0.33
cg,73,171304.76,0.32
cg,74,175012.96,0.31
cg,75,171451.51,0.32
cg,76,175055.04,0.31
cg,77,173711.69,0.31
cg,78,176005.83,0.31
cg,79,174574.66,0.31
cg,80,172942.00,0.32
cg,81,177411.19,0.31
cg,82,174264.12,0.31
cg,83,176132.04,0.31
cg,84,177986.47,0.31
cg,85,178479.76,0.31
cg,86,180304.51,0.30
cg,87,180798.79,0.30
cg,88,183085.21,0.30
ep,1,234.78,9.15
ep,2,469.53,4.57
ep,3,705.23,3.05
ep,4,939.14,2.29
ep,5,1173.70,1.83
ep,6,1410.45,1.52
ep,7,1644.55,1.31
ep,8,1879.18,1.14
ep,9,2113.79,1.02
ep,10,2348.25,0.91
ep,11,2582.75,0.83
ep,12,2821.11,0.76
ep,13,3050.27,0.70
ep,14,3288.15,0.65
ep,15,3509.22,0.61
ep,16,3747.33,0.57
ep,17,3983.00,0.54
ep,18,4216.95,0.51
ep,19,4441.90,0.48
ep,20,4679.59,0.46
ep,21,4914.64,0.44
ep,22,5143.15,0.42
ep,23,5378.90,0.40
ep,24,5622.71,0.38
ep,25,5848.16,0.37
ep,26,6078.90,0.35
ep,27,6314.91,0.34
ep,28,6546.10,0.33
ep,29,6781.12,0.32
ep,30,7011.97,0.31
ep,31,7226.58,0.30
ep,32,7485.45,0.29
ep,33,7710.14,0.28
ep,34,7938.85,0.27
ep,35,8176.89,0.26
ep,36,8409.90,0.26
ep,37,8641.23,0.25
ep,38,8886.66,0.24
ep,39,9115.10,0.24
ep,40,9340.08,0.23
ep,41,9572.06,0.22
ep,42,9809.86,0.22
ep,43,10027.93,0.21
ep,44,10240.96,0.21
ep,45,10488.86,0.20
ep,46,10724.06,0.20
ep,47,10948.21,0.20
ep,48,11180.44,0.19
ep,49,11417.07,0.19
ep,50,11637.07,0.18
ep,51,11885.03,0.18
ep,52,12110.60,0.18
ep,53,12360.62,0.17
ep,54,12557.47,0.17
ep,55,12796.70,0.17
ep,56,13048.08,0.16
ep,57,13272.60,0.16
ep,58,13513.34,0.16
ep,59,13705.67,0.16
ep,60,13981.75,0.15
ep,61,14181.28,0.15
ep,62,14447.34,0.15
ep,63,14651.78,0.15
ep,64,14869.30,0.14
ep,65,15140.61,0.14
ep,66,15360.92,0.14
ep,67,15570.00,0.14
ep,68,15785.62,0.14
ep,69,16038.14,0.13
ep,70,16263.06,0.13
ep,71,16490.24,0.13
ep,72,16721.34,0.13
ep,73,16964.04,0.13
ep,74,17176.93,0.13
ep,75,17415.02,0.12
ep,76,17623.77,0.12
ep,77,17856.73,0.12
ep,78,18086.22,0.12
ep,79,18293.53,0.12
ep,80,18551.73,0.12
ep,81,18760.49,0.11
