kernel,cores,threads,mops,runtime_s
bt,1,2,11634.21,60.35
bt,2,4,23256.79,30.19
bt,3,6,35288.59,19.90
bt,4,8,47143.84,14.89
bt,5,10,58541.82,11.99
bt,6,12,70558.59,9.95
bt,7,14,81793.04,8.58
bt,8,16,93527.37,7.51
bt,9,18,105166.28,6.68
bt,10,20,116397.82,6.03
bt,11,22,127099.85,5.52
bt,12,24,139486.96,5.03
bt,13,26,150738.86,4.66
bt,14,28,161444.79,4.35
bt,15,30,174450.38,4.03
bt,16,32,184470.31,3.81
bt,17,34,195437.12,3.59
bt,18,36,208610.57,3.37
bt,19,38,218617.19,3.21
bt,20,40,230927.27,3.04
bt,21,42,240739.35,2.92
bt,22,44,251968.73,2.79
bt,23,46,262669.17,2.67
bt,24,48,276086.65,2.54
bt,25,50,286741.65,2.45
bt,26,52,296264.57,2.37
bt,27,54,307274.35,2.29
bt,28,56,321249.18,2.19
bt,29,58,331759.92,2.12
bt,30,60,341707.05,2.05
bt,31,62,352933.39,1.99
bt,32,64,362430.43,1.94
bt,33,66,375007.53,1.87
bt,34,68,384465.77,1.83
bt,35,70,397128.13,1.77
bt,36,72,409249.66,1.72
bt,37,74,418512.07,1.68
bt,38,76,415075.94,1.69
bt,39,78,438964.34,1.60
bt,40,80,452111.10,1.55
bt,41,82,464090.94,1.51
bt,42,84,472163.65,1.49
bt,43,86,483151.45,1.45
bt,44,88,496250.91,1.41
bt,45,90,504394.61,1.39
bt,46,92,516703.42,1.36
bt,47,94,513414.65,1.37
bt,48,96,531923.56,1.32
bt,49,98,543367.17,1.29
bt,50,100,547395.12,1.28
bt,51,102,565270.58,1.24
bt,52,104,574483.21,1.22
bt,53,106,587258.89,1.20
bt,54,108,597872.47,1.17
bt,55,110,608038.10,1.15
bt,56,112,615616.26,1.14
bt,57,114,624566.92,1.12
bt,58,116,634138.87,1.11
bt,59,118,645140.52,1.09
bt,60,120,651816.08,1.08
bt,61,122,663469.49,1.06
bt,62,124,670576.12,1.05
bt,63,126,678910.73,1.03
bt,64,128,686683.80,1.02
bt,65,130,699949.10,1.00
bt,66,132,705111.10,1.00
bt,67,134,713139.98,0.98
bt,68,136,721155.23,0.97
bt,69,138,730485.18,0.96
bt,70,140,735746.27,0.95
bt,71,142,746190.64,0.94
bt,72,144,752553.81,0.93
bt,73,146,762762.70,0.92
bt,74,148,771647.87,0.91
bt,75,150,780493.41,0.90
bt,76,152,789019.88,0.89
bt,77,154,797614.64,0.88
bt,78,156,800120.77,0.88
bt,79,158,810595.31,0.87
bt,80,160,818083.85,0.86
bt,81,162,831670.13,0.84
bt,82,164,842814.22,0.83
bt,83,166,844248.26,0.83
bt,84,168,853481.81,0.82
bt,85,170,863607.32,0.81
bt,86,172,869560.35,0.81
bt,87,174,877609.35,0.80
bt,88,176,879522.33,0.80
cg,1,2,3473.58,15.75
