app,cores,threads,metric,value
nas_bt_B,96,96,mops,578813.20
nas_bt_B,96,96,runtime_s,1.21
nas_cg_B,96,96,mops,115583.52
nas_cg_B,96,96,runtime_s,0.47
nas_ep_B,96,96,mops,9538.85
nas_ep_B,96,96,runtime_s,0.23
nas_ft_B,96,96,mops,453673.80
nas_ft_B,96,96,runtime_s,0.20
nas_is_B,96,96,mops,21118.71
nas_is_B,96,96,runtime_s,0.02
nas_lu_B,96,96,mops,254146.83
nas_lu_B,96,96,runtime_s,1.96
nas_mg_B,96,96,mops,283429.82
nas_mg_B,96,96,runtime_s,0.07
nas_sp_B,96,96,mops,357469.48
nas_sp_B,96,96,runtime_s,0.99
nas_ua_B,96,96,mops,1108.06
nas_ua_B,96,96,runtime_s,1.99
nas_bt_D,96,96,mops,438903.59
nas_bt_D,96,96,runtime_s,132.91
nas_cg_D,96,96,mops,23124.40
nas_cg_D,96,96,runtime_s,157.53
nas_ep_D,96,96,mops,9531.16
nas_ep_D,96,96,runtime_s,14.42
nas_ft_D,96,96,mops,311372.41
nas_ft_D,96,96,runtime_s,28.79
nas_is_D,96,96,mops,8938.35
nas_is_D,96,96,runtime_s,2.40
nas_lu_D,96,96,mops,417106.05
nas_lu_D,96,96,runtime_s,95.65
nas_mg_D,96,96,mops,174684.38
nas_mg_D,96,96,runtime_s,17.83
nas_sp_D,96,96,mops,193598.52
nas_sp_D,96,96,runtime_s,152.56
nas_ua_D,96,96,mops,1346.40
nas_ua_D,96,96,runtime_s,129.07
cloverleaf,96,96,wall_clock_s,8.4109380245208740
minibude,96,96,sum_ms,180.68
neutral,96,96,wallclock_s,2.679567331
tealeaf,96,96,wallclock_s,9.195
stream_gcc15,96,96,copy_mb_s,542154.8
stream_gcc15,96,96,scale_mb_s,541720.6
stream_gcc15,96,96,add_mb_s,552480.7
stream_gcc15,96,96,triad_mb_s,549167.6
