app,cores,threads,event,value
nas_bt_B,96,96,task-clock,118716956605
nas_bt_B,96,96,cycles,447833989287
nas_bt_B,96,96,instructions,889821429366
nas_bt_B,96,96,branches,10436626902
nas_bt_B,96,96,branch-misses,30179495
nas_bt_B,96,96,cache-references,2862952619
nas_bt_B,96,96,cache-misses,347328969
nas_bt_B,96,96,L1-dcache-loads,293940082145
nas_bt_B,96,96,L1-dcache-load-misses,3210897870
nas_bt_B,96,96,L1-icache-load-misses,31183734
nas_bt_B,96,96,LLC-loads,353262491
nas_bt_B,96,96,LLC-load-misses,104873864
nas_bt_B,96,96,dTLB-loads,295944575366
nas_bt_B,96,96,dTLB-load-misses,4963976
nas_bt_B,96,96,iTLB-loads,NA
nas_bt_B,96,96,iTLB-load-misses,167699
nas_bt_B,96,96,context-switches,275
nas_bt_B,96,96,cpu-migrations,97
nas_bt_B,96,96,page-faults,49486
nas_bt_B,96,96,seconds,1.248827628
nas_bt_B,96,96,seconds,117.931159000
nas_bt_B,96,96,seconds,0.842915000
nas_cg_B,96,96,task-clock,52208821054
nas_cg_B,96,96,cycles,200635661229
nas_cg_B,96,96,instructions,122028661323
nas_cg_B,96,96,branches,12245779323
nas_cg_B,96,96,branch-misses,239525094
nas_cg_B,96,96,cache-references,5049493750
nas_cg_B,96,96,cache-misses,1266697872
nas_cg_B,96,96,L1-dcache-loads,24653050050
nas_cg_B,96,96,L1-dcache-load-misses,25990581041
nas_cg_B,96,96,L1-icache-load-misses,4409906
nas_cg_B,96,96,LLC-loads,1522691144
nas_cg_B,96,96,LLC-load-misses,976466888
nas_cg_B,96,96,dTLB-loads,24456536184
nas_cg_B,96,96,dTLB-load-misses,369622
nas_cg_B,96,96,iTLB-loads,NA
nas_cg_B,96,96,iTLB-load-misses,69553
nas_cg_B,96,96,context-switches,285
nas_cg_B,96,96,cpu-migrations,96
nas_cg_B,96,96,page-faults,88051
nas_cg_B,96,96,seconds,0.570561767
nas_cg_B,96,96,seconds,50.719834000
nas_cg_B,96,96,seconds,1.547116000
nas_ep_B,96,96,task-clock,11927624035
