app,cores,threads,metric,value
nas_bt_B,96,96,mops,553112.76
nas_bt_B,96,96,runtime_s,1.27
nas_cg_B,96,96,mops,132709.19
nas_cg_B,96,96,runtime_s,0.41
nas_ep_B,96,96,mops,9391.57
nas_ep_B,96,96,runtime_s,0.23
nas_ft_B,96,96,mops,295394.52
nas_ft_B,96,96,runtime_s,0.31
nas_is_B,96,96,mops,14635.31
nas_is_B,96,96,runtime_s,0.02
nas_lu_B,96,96,mops,276177.11
nas_lu_B,96,96,runtime_s,1.81
nas_mg_B,96,96,mops,317579.36
nas_mg_B,96,96,runtime_s,0.06
nas_sp_B,96,96,mops,347704.88
nas_sp_B,96,96,runtime_s,1.02
nas_ua_B,96,96,mops,1203.25
nas_ua_B,96,96,runtime_s,1.84
nas_bt_D,96,96,mops,431091.33
nas_bt_D,96,96,runtime_s,135.32
nas_cg_D,96,96,mops,70456.45
nas_cg_D,96,96,runtime_s,51.70
nas_ep_D,96,96,mops,9546.22
nas_ep_D,96,96,runtime_s,14.40
nas_ft_D,96,96,mops,306743.98
nas_ft_D,96,96,runtime_s,29.22
nas_is_D,96,96,mops,10228.16
nas_is_D,96,96,runtime_s,2.10
nas_lu_D,96,96,mops,356656.58
nas_lu_D,96,96,runtime_s,111.87
nas_mg_D,96,96,mops,134362.98
nas_mg_D,96,96,runtime_s,23.17
nas_sp_D,96,96,mops,162278.79
nas_sp_D,96,96,runtime_s,182.01
nas_ua_D,96,96,mops,1116.11
nas_ua_D,96,96,runtime_s,155.71
cloverleaf,96,96,wall_clock_s,10.508309841156006
minibude,96,96,sum_ms,61.48
neutral,96,96,wallclock_s,4.299260898
tealeaf,96,96,wallclock_s,5.813
stream_gcc15,96,96,copy_mb_s,295614.4
stream_gcc15,96,96,scale_mb_s,282099.1
stream_gcc15,96,96,add_mb_s,337953.5
stream_gcc15,96,96,triad_mb_s,331080.7
