app,cores,threads,event,value
nas_bt_B,96,96,task-clock,123767446650
nas_bt_B,96,96,cycles,426481721619
nas_bt_B,96,96,instructions,911723479852
nas_bt_B,96,96,branches,11900673558
nas_bt_B,96,96,branch-misses,10937407
nas_bt_B,96,96,cache-references,40456796027
nas_bt_B,96,96,cache-misses,687922613
nas_bt_B,96,96,L1-dcache-loads,491254884450
nas_bt_B,96,96,L1-dcache-load-misses,28221077253
nas_bt_B,96,96,L1-icache-load-misses,28873771
nas_bt_B,96,96,LLC-loads,NA
nas_bt_B,96,96,LLC-load-misses,NA
nas_bt_B,96,96,dTLB-loads,2266662406
nas_bt_B,96,96,dTLB-load-misses,4690090
nas_bt_B,96,96,iTLB-loads,41943
nas_bt_B,96,96,iTLB-load-misses,4952
nas_bt_B,96,96,context-switches,1403
nas_bt_B,96,96,cpu-migrations,96
nas_bt_B,96,96,page-faults,47583
nas_bt_B,96,96,seconds,1.297593825
nas_bt_B,96,96,seconds,123.425061000
nas_bt_B,96,96,seconds,0.384149000
nas_cg_B,96,96,task-clock,46400030439
nas_cg_B,96,96,cycles,169485955567
nas_cg_B,96,96,instructions,248022872489
nas_cg_B,96,96,branches,34628242745
nas_cg_B,96,96,branch-misses,312795653
nas_cg_B,96,96,cache-references,37029866161
nas_cg_B,96,96,cache-misses,2226565950
nas_cg_B,96,96,L1-dcache-loads,95549272073
nas_cg_B,96,96,L1-dcache-load-misses,30279007813
nas_cg_B,96,96,L1-icache-load-misses,10435264
nas_cg_B,96,96,LLC-loads,NA
nas_cg_B,96,96,LLC-load-misses,NA
nas_cg_B,96,96,dTLB-loads,13562315851
nas_cg_B,96,96,dTLB-load-misses,8658550
nas_cg_B,96,96,iTLB-loads,12647
nas_cg_B,96,96,iTLB-load-misses,3357
nas_cg_B,96,96,context-switches,685
nas_cg_B,96,96,cpu-migrations,96
nas_cg_B,96,96,page-faults,87996
nas_cg_B,96,96,seconds,0.506412929
nas_cg_B,96,96,seconds,45.652847000
nas_cg_B,96,96,seconds,0.789582000
nas_ep_B,96,96,task-clock,14203384123
nas_ep_B,96,96,cycles,48689317575
nas_ep_B,96,96,instructions,107578328223
nas_ep_B,96,96,branches,11135957829
nas_ep_B,96,96,branch-misses,293480905
nas_ep_B,96,96,cache-references,893324924
nas_ep_B,96,96,cache-misses,13415790
nas_ep_B,96,96,L1-dcache-loads,42206244971
nas_ep_B,96,96,L1-dcache-load-misses,530782598
nas_ep_B,96,96,L1-icache-load-misses,2096818
nas_ep_B,96,96,LLC-loads,NA
nas_ep_B,96,96,LLC-load-misses,NA
nas_ep_B,96,96,dTLB-loads,8804304
nas_ep_B,96,96,dTLB-load-misses,217274
nas_ep_B,96,96,iTLB-loads,8793
nas_ep_B,96,96,iTLB-load-misses,7465
nas_ep_B,96,96,context-switches,544
nas_ep_B,96,96,cpu-migrations,96
nas_ep_B,96,96,page-faults,25305
nas_ep_B,96,96,seconds,0.259793523
nas_ep_B,96,96,seconds,14.221475000
nas_ep_B,96,96,seconds,0.027140000
nas_ft_B,96,96,task-clock,34072048587
nas_ft_B,96,96,cycles,127013754540
nas_ft_B,96,96,instructions,67876061688
nas_ft_B,96,96,branches,6299259215
nas_ft_B,96,96,branch-misses,13351521
nas_ft_B,96,96,cache-references,14041662995
nas_ft_B,96,96,cache-misses,538040520
nas_ft_B,96,96,L1-dcache-loads,25659113391
nas_ft_B,96,96,L1-dcache-load-misses,13101090964
nas_ft_B,96,96,L1-icache-load-misses,9415273
nas_ft_B,96,96,LLC-loads,NA
nas_ft_B,96,96,LLC-load-misses,NA
nas_ft_B,96,96,dTLB-loads,227069033
nas_ft_B,96,96,dTLB-load-misses,21115199
nas_ft_B,96,96,iTLB-loads,9564
nas_ft_B,96,96,iTLB-load-misses,957
nas_ft_B,96,96,context-switches,472
nas_ft_B,96,96,cpu-migrations,96
nas_ft_B,96,96,page-faults,341992
nas_ft_B,96,96,seconds,0.392569148
nas_ft_B,96,96,seconds,31.877150000
