app,cores,threads,metric,value
nas_bt_B,88,176,mops,894646.44
nas_bt_B,88,176,runtime_s,0.78
nas_cg_B,88,176,mops,149671.73
nas_cg_B,88,176,runtime_s,0.37
nas_ep_B,88,176,mops,28683.32
nas_ep_B,88,176,runtime_s,0.07
nas_ft_B,88,176,mops,454116.34
nas_ft_B,88,176,runtime_s,0.20
nas_is_B,88,176,mops,39886.67
nas_is_B,88,176,runtime_s,0.01
nas_lu_B,88,176,mops,380591.80
nas_lu_B,88,176,runtime_s,1.31
nas_mg_B,88,176,mops,388628.11
nas_mg_B,88,176,runtime_s,0.05
nas_sp_B,88,176,mops,664426.86
nas_sp_B,88,176,runtime_s,0.53
nas_ua_B,88,176,mops,1145.60
nas_ua_B,88,176,runtime_s,1.93
nas_bt_D,88,176,mops,751242.01
nas_bt_D,88,176,runtime_s,77.65
nas_cg_D,88,176,mops,56283.10
nas_cg_D,88,176,runtime_s,64.72
nas_ep_D,88,176,mops,27874.60
nas_ep_D,88,176,runtime_s,4.93
nas_ft_D,88,176,mops,278442.77
nas_ft_D,88,176,runtime_s,32.19
nas_is_D,88,176,mops,19780.28
nas_is_D,88,176,runtime_s,1.09
nas_lu_D,88,176,mops,581820.67
nas_lu_D,88,176,runtime_s,68.57
nas_mg_D,88,176,mops,331411.41
nas_mg_D,88,176,runtime_s,9.40
nas_sp_D,88,176,mops,357584.05
nas_sp_D,88,176,runtime_s,82.60
nas_ua_D,88,176,mops,1976.22
nas_ua_D,88,176,runtime_s,87.94
cloverleaf,88,176,wall_clock_s,4.5207350254058838
minibude,88,176,sum_ms,166.23
neutral,88,176,wallclock_s,1.139145397
tealeaf,88,176,wallclock_s,5.998
stream_gcc15,88,176,copy_mb_s,1028380.7
stream_gcc15,88,176,scale_mb_s,1037240.0
stream_gcc15,88,176,add_mb_s,1028093.7
stream_gcc15,88,176,triad_mb_s,1037298.4
