app,cores,threads,metric,value
nas_bt_D,88,88,mops,657052.13
nas_bt_D,88,88,runtime_s,88.78
nas_cg_D,88,88,mops,57725.96
nas_cg_D,88,88,runtime_s,63.11
nas_ep_D,88,88,mops,20069.98
nas_ep_D,88,88,runtime_s,6.85
nas_ft_D,88,88,mops,456875.51
nas_ft_D,88,88,runtime_s,19.62
nas_is_D,88,88,mops,19915.11
nas_is_D,88,88,runtime_s,1.08
nas_lu_D,88,88,mops,625816.19
nas_lu_D,88,88,runtime_s,63.75
nas_mg_D,88,88,mops,340094.14
nas_mg_D,88,88,runtime_s,9.16
nas_sp_D,88,88,mops,317151.27
nas_sp_D,88,88,runtime_s,93.13
nas_ua_D,88,88,mops,1656.26
nas_ua_D,88,88,runtime_s,104.93
cloverleaf,88,88,wall_clock_s,4.1978559494018555
minibude,88,88,sum_ms,130.88
neutral,88,88,wallclock_s,2.173508874
tealeaf,88,88,wallclock_s,4.030
stream_gcc15,88,88,copy_mb_s,1072569.6
stream_gcc15,88,88,scale_mb_s,1063191.2
stream_gcc15,88,88,add_mb_s,1073820.1
stream_gcc15,88,88,triad_mb_s,1077273.9
