app,cores,threads,event,value
nas_bt_B,88,176,task-clock,138396941631
nas_bt_B,88,176,cycles,438304173731
nas_bt_B,88,176,instructions,1108814551730
nas_bt_B,88,176,branches,58168502894
nas_bt_B,88,176,branch-misses,26665368
nas_bt_B,88,176,cache-references,529471793413
nas_bt_B,88,176,cache-misses,30402211205
nas_bt_B,88,176,L1-dcache-loads,529241210419
nas_bt_B,88,176,L1-dcache-load-misses,30330324552
nas_bt_B,88,176,L1-icache-load-misses,33865367
nas_bt_B,88,176,LLC-loads,103966304
nas_bt_B,88,176,LLC-load-misses,1631634
nas_bt_B,88,176,dTLB-loads,519584342330
nas_bt_B,88,176,dTLB-load-misses,1117567466
nas_bt_B,88,176,iTLB-loads,152627528528
nas_bt_B,88,176,iTLB-load-misses,13855
nas_bt_B,88,176,context-switches,9297
nas_bt_B,88,176,cpu-migrations,213
nas_bt_B,88,176,page-faults,3597
nas_bt_B,88,176,seconds,0.803503369
nas_bt_B,88,176,seconds,137.818191000
nas_bt_B,88,176,seconds,0.651643000
nas_cg_B,88,176,task-clock,66264587602
nas_cg_B,88,176,cycles,208401146675
nas_cg_B,88,176,instructions,359866433296
nas_cg_B,88,176,branches,90615500005
nas_cg_B,88,176,branch-misses,138651086
nas_cg_B,88,176,cache-references,109139041004
nas_cg_B,88,176,cache-misses,28842848597
nas_cg_B,88,176,L1-dcache-loads,109172042377
nas_cg_B,88,176,L1-dcache-load-misses,28515422052
nas_cg_B,88,176,L1-icache-load-misses,27256646
nas_cg_B,88,176,LLC-loads,1112915784
nas_cg_B,88,176,LLC-load-misses,458353
nas_cg_B,88,176,dTLB-loads,103941065966
nas_cg_B,88,176,dTLB-load-misses,14242804
nas_cg_B,88,176,iTLB-loads,66095062420
nas_cg_B,88,176,iTLB-load-misses,50024
nas_cg_B,88,176,context-switches,32652
nas_cg_B,88,176,cpu-migrations,263
nas_cg_B,88,176,page-faults,6556
nas_cg_B,88,176,seconds,0.423488462
nas_cg_B,88,176,seconds,64.665052000
nas_cg_B,88,176,seconds,1.644804000
nas_ep_B,88,176,task-clock,13161133092
nas_ep_B,88,176,cycles,41685949479
nas_ep_B,88,176,instructions,86170607451
nas_ep_B,88,176,branches,9390564172
nas_ep_B,88,176,branch-misses,277430418
nas_ep_B,88,176,cache-references,14747652574
nas_ep_B,88,176,cache-misses,264084946
nas_ep_B,88,176,L1-dcache-loads,15031073405
nas_ep_B,88,176,L1-dcache-load-misses,266795267
nas_ep_B,88,176,L1-icache-load-misses,2735875
nas_ep_B,88,176,LLC-loads,1479845
nas_ep_B,88,176,LLC-load-misses,75962
nas_ep_B,88,176,dTLB-loads,14667683510
nas_ep_B,88,176,dTLB-load-misses,901986
nas_ep_B,88,176,iTLB-loads,24672849384
nas_ep_B,88,176,iTLB-load-misses,6832
nas_ep_B,88,176,context-switches,783
nas_ep_B,88,176,cpu-migrations,175
nas_ep_B,88,176,page-faults,3363
nas_ep_B,88,176,seconds,0.091359396
nas_ep_B,88,176,seconds,13.103739000
nas_ep_B,88,176,seconds,0.193220000
nas_ft_B,88,176,task-clock,35305936903
nas_ft_B,88,176,cycles,109474051906
nas_ft_B,88,176,instructions,166958187614
nas_ft_B,88,176,branches,23921477067
nas_ft_B,88,176,branch-misses,10674076
nas_ft_B,88,176,cache-references,63283663018
nas_ft_B,88,176,cache-misses,9155695221
nas_ft_B,88,176,L1-dcache-loads,62398748548
nas_ft_B,88,176,L1-dcache-load-misses,9070742073
nas_ft_B,88,176,L1-icache-load-misses,22247249
nas_ft_B,88,176,LLC-loads,175743516
nas_ft_B,88,176,LLC-load-misses,52108224
nas_ft_B,88,176,dTLB-loads,56985566324
nas_ft_B,88,176,dTLB-load-misses,56753510
nas_ft_B,88,176,iTLB-loads,27145176128
nas_ft_B,88,176,iTLB-load-misses,5352
nas_ft_B,88,176,context-switches,13674
nas_ft_B,88,176,cpu-migrations,216
nas_ft_B,88,176,page-faults,22274
nas_ft_B,88,176,seconds,0.233641236
nas_ft_B,88,176,seconds,34.148094000
nas_ft_B,88,176,seconds,1.262157000
nas_is_B,88,176,task-clock,4655697247
nas_is_B,88,176,cycles,15017498903
nas_is_B,88,176,instructions,20122028447
nas_is_B,88,176,branches,2925058986
nas_is_B,88,176,branch-misses,967433
nas_is_B,88,176,cache-references,4072531322
nas_is_B,88,176,cache-misses,123687536
nas_is_B,88,176,L1-dcache-loads,4772698146
