app,cores,threads,event,value
nas_bt_D,88,88,task-clock,7781506949108
nas_bt_D,88,88,cycles,24720882654150
nas_bt_D,88,88,instructions,80052803870177
nas_bt_D,88,88,branches,814557292259
nas_bt_D,88,88,branch-misses,955085482
nas_bt_D,88,88,cache-references,42332172874252
nas_bt_D,88,88,cache-misses,2380064430347
nas_bt_D,88,88,L1-dcache-loads,42322817831225
nas_bt_D,88,88,L1-dcache-load-misses,2379706314366
nas_bt_D,88,88,L1-icache-load-misses,1707571147
nas_bt_D,88,88,LLC-loads,7248983917
nas_bt_D,88,88,LLC-load-misses,5332019875
nas_bt_D,88,88,dTLB-loads,41088925912255
nas_bt_D,88,88,dTLB-load-misses,101556048639
nas_bt_D,88,88,iTLB-loads,10639126780090
nas_bt_D,88,88,iTLB-load-misses,333048
nas_bt_D,88,88,context-switches,105957
nas_bt_D,88,88,cpu-migrations,89
nas_bt_D,88,88,page-faults,175735
nas_bt_D,88,88,seconds,89.404679841
nas_bt_D,88,88,seconds,7778.041468000
nas_bt_D,88,88,seconds,3.491593000
nas_cg_D,88,88,task-clock,5356845823538
nas_cg_D,88,88,cycles,15953641461996
nas_cg_D,88,88,instructions,8941472125482
nas_cg_D,88,88,branches,1111382967095
nas_cg_D,88,88,branch-misses,9886455437
nas_cg_D,88,88,cache-references,4708759740660
nas_cg_D,88,88,cache-misses,2162754386770
nas_cg_D,88,88,L1-dcache-loads,4709525566092
nas_cg_D,88,88,L1-dcache-load-misses,2162620078288
nas_cg_D,88,88,L1-icache-load-misses,786707205
nas_cg_D,88,88,LLC-loads,1528673917614
nas_cg_D,88,88,LLC-load-misses,1031304784
nas_cg_D,88,88,dTLB-loads,4420794455231
nas_cg_D,88,88,dTLB-load-misses,706945357305
nas_cg_D,88,88,iTLB-loads,2124224228623
nas_cg_D,88,88,iTLB-load-misses,137453
nas_cg_D,88,88,context-switches,231868
nas_cg_D,88,88,cpu-migrations,89
nas_cg_D,88,88,page-faults,267696
nas_cg_D,88,88,seconds,66.312651602
