cores,copy_mb_s,scale_mb_s,add_mb_s,triad_mb_s
1,18807.2,18809.5,18827.3,18798.5
2,36396.5,36356.1,36692.8,36559.9
3,52535.6,52480.9,53661.8,53502.7
4,67141.9,66960.1,70265.2,70107.2
5,84214.0,83898.6,88056.8,87817.5
6,101446.5,101016.9,105945.4,105550.0
7,118912.9,118417.5,124117.6,123749.4
8,136456.3,135730.1,141938.7,141411.0
9,153905.4,152940.8,160011.8,158474.4
10,171824.0,170550.4,177678.4,175721.5
11,189715.5,188323.3,196420.7,194000.8
12,208330.5,206556.9,213393.5,212538.9
13,213919.8,211631.0,224748.6,223984.6
14,215465.2,212826.8,230338.2,229681.3
15,211419.3,208361.3,227316.4,226161.3
16,205945.7,203206.2,227669.4,226932.1
17,218643.7,215451.5,243047.9,241281.7
18,233454.4,229522.3,257524.1,256358.1
19,244035.8,241089.1,272419.4,271355.8
20,252869.9,254705.6,287877.1,285862.5
21,268031.3,268354.5,303293.3,300940.2
22,277132.1,280450.3,318147.2,316085.8
23,288802.9,293790.0,333204.0,330999.6
24,303338.7,308681.7,349231.8,346493.7
25,301639.8,300226.1,338766.2,337028.9
26,295773.4,291898.5,337315.7,336336.2
27,283202.4,286038.2,346332.9,347623.8
28,298799.1,303295.1,368622.9,370069.5
29,301483.8,307855.6,380733.8,383004.4
30,323125.8,327645.7,397292.9,399231.2
31,327512.5,333276.2,412641.7,414441.7
32,359550.0,363405.4,437500.4,438483.6
33,366611.8,373956.5,451140.0,452693.8
34,367615.9,376713.8,464055.9,465905.4
35,398422.3,403479.4,482531.3,484300.0
36,416958.8,421721.0,500042.4,501208.2
37,399523.6,405219.6,485087.2,485319.2
38,401792.2,404947.9,471359.4,471210.6
39,403566.0,405190.4,457107.0,457008.1
40,410800.7,409002.5,445788.5,446549.7
41,415933.3,415626.7,455146.8,455629.1
42,434250.0,432993.7,468911.1,469596.8
43,441378.9,441183.2,478327.7,478634.5
44,454779.6,455244.8,489278.8,489911.9
45,471911.9,471701.3,504798.8,505432.5
46,477616.2,477953.6,512757.7,513318.0
47,489789.0,490271.7,525406.5,526693.7
48,505271.4,505513.1,539325.0,540439.5
49,485890.9,486254.2,518607.2,519052.8
50,477265.7,476593.2,506148.5,506188.9
51,459125.6,458229.9,482834.3,484152.1
52,448103.7,448602.9,468833.1,470119.0
53,457350.1,454816.3,475735.2,476745.5
54,465533.5,465328.5,485783.9,486249.5
55,474573.7,472967.7,496266.3,497239.1
56,488896.9,487951.8,512064.2,513983.7
57,493750.1,491897.4,514202.5,515341.1
58,507866.1,506527.5,531728.1,533248.2
59,512002.2,511491.2,534135.2,534980.1
60,525738.6,525150.9,550621.9,552180.0
61,511676.9,510703.4,533472.5,533899.2
62,495573.1,494732.3,511723.4,513848.3
63,486422.0,485793.2,500456.7,501287.5
64,474573.7,472518.4,486016.6,487314.4
65,479893.1,476821.7,486249.5,486492.0
66,488191.3,482756.2,494033.7,492269.7
67,496183.8,491954.7,501743.6,501247.8
68,502867.5,497966.3,510765.1,509605.7
69,511615.0,506861.5,517760.4,517496.3
70,523573.8,519042.2,534608.0,535318.8
71,530371.8,527888.4,542903.2,544324.4
72,538889.6,535952.1,551579.7,551567.7
73,521137.5,517121.8,530937.9,529364.6
74,509411.2,504246.9,514807.7,514546.7
75,500619.7,503316.5,508757.4,510775.4
76,485138.2,482590.9,490594.1,493351.6
77,495878.3,498274.4,493591.6,494438.2
78,498700.5,496489.7,507515.6,507891.5
79,507424.2,504623.1,513328.4,513900.4
80,517454.1,515985.8,526879.7,525047.6
81,519121.9,521330.3,527197.3,528482.3
82,523379.4,521748.5,535986.1,536360.1
83,531505.2,530255.3,541304.5,542415.6
84,545899.9,544581.5,552781.7,552829.9
85,527411.0,526229.4,533001.7,535646.6
86,511615.0,514025.3,522194.2,523725.1
87,508645.1,507744.1,518257.5,515686.8
88,489434.6,490499.3,501624.5,502489.0
89,495152.4,495878.3,508064.5,509124.9
90,509488.0,508064.5,514807.7,517633.6
91,506406.2,508003.4,518872.4,521335.7
92,514870.4,513167.5,527383.6,526278.5
93,519983.8,523509.0,533192.2,534608.0
94,526655.5,528647.5,537884.1,540531.7
95,536734.6,543478.9,546729.4,548514.5
96,547012.3,544196.0,554303.6,552132.0
