cores,copy_mb_s,scale_mb_s,add_mb_s,triad_mb_s
1,18830.2,18846.9,18847.1,18822.2
2,36353.5,36365.5,36696.2,36559.3
3,50627.9,50611.8,51710.8,51788.0
4,65218.6,65191.2,67283.7,67218.0
5,78339.7,78123.0,81778.3,81689.9
6,88961.7,88475.3,92854.7,92462.7
7,96160.4,95389.1,103225.5,102885.1
8,101106.2,100333.6,111409.9,111103.0
9,105287.8,104407.7,117617.5,117207.2
10,106346.5,105194.8,121357.7,121226.6
11,109726.9,110559.7,134426.8,134891.5
12,124567.7,125349.7,153674.2,153944.6
13,129522.0,130009.9,164035.8,163951.0
14,145469.7,144859.1,168533.5,168614.1
15,153133.3,152047.1,171331.4,171408.9
16,159278.9,158018.3,172952.7,173047.1
17,160946.3,160349.6,172968.1,172912.7
18,164901.1,164289.2,174949.5,174914.5
19,164637.8,164477.7,173101.4,173259.9
20,167441.6,166825.5,174909.7,174984.5
21,168393.6,167888.7,174772.3,174832.5
22,167810.5,166991.9,170150.0,171026.4
23,168795.3,167845.4,171701.3,171837.4
24,170701.9,170220.8,175071.4,174943.5
25,171609.5,170726.0,174979.7,174873.5
26,170950.3,170358.0,170697.3,170534.3
27,169404.0,169212.5,174661.6,174263.2
28,171785.6,171684.5,175202.0,175157.3
29,169597.7,169341.3,174303.9,174198.6
30,172058.3,172065.3,175289.2,174973.6
31,170991.8,170919.2,174853.0,174873.5
32,171881.6,171385.2,175141.5,175441.9
33,176394.1,175509.9,181045.2,180828.4
34,180685.4,179488.8,186206.9,185221.2
35,188489.1,188747.9,192274.4,191367.9
36,194023.0,194210.2,198106.6,198049.3
37,196644.6,196243.0,201358.6,202891.8
38,202074.7,201329.0,208128.8,208227.9
39,207405.5,207716.3,214322.0,214081.4
40,215234.9,217041.4,220545.6,220488.1
41,219261.7,218443.2,225656.3,224289.6
42,227938.4,227102.8,231866.8,232393.6
43,230727.9,228935.1,235763.0,236972.1
44,235305.9,234227.1,242812.9,240755.0
45,245107.5,242148.9,250258.0,249649.7
46,247511.0,244883.8,253831.4,253968.6
47,253203.1,250982.2,259882.7,258084.8
48,261511.6,262107.4,263470.0,266865.3
49,264410.5,264133.8,271786.0,268885.0
50,273152.8,273820.6,278493.6,275598.1
51,275785.4,275354.3,282510.1,282853.5
52,281739.8,280231.9,289973.3,288949.3
53,281407.0,284264.0,294494.3,293350.0
54,291139.7,292813.3,297886.9,299688.7
55,298820.3,294065.9,307473.2,303297.0
56,307598.1,308237.2,313872.2,309661.4
57,307435.9,307715.6,316665.8,313662.6
58,318488.7,318530.7,324707.8,325161.5
59,321192.6,320025.6,329447.8,326778.4
60,330462.8,331551.2,336823.0,336899.0
61,336612.9,337344.8,341617.5,342628.0
62,341348.6,340798.3,346035.2,347905.1
63,348129.5,347700.0,354512.6,354141.4
64,354277.4,353714.3,360795.2,359766.7
65,354433.4,353929.0,363421.0,364601.5
66,358498.2,363147.9,368082.6,368896.2
67,367943.8,370385.5,372301.7,374439.5
68,368995.5,374411.8,377481.7,383172.2
69,380237.3,378306.5,388560.2,385542.4
70,390402.0,383340.1,390468.1,391710.2
71,391305.3,390889.3,398942.4,402180.8
72,401630.0,397831.8,405880.9,403229.2
73,402912.2,403161.9,406127.8,411350.3
74,409636.5,402040.6,419388.8,418807.2
75,420003.3,422194.8,420347.8,421115.4
76,413371.3,420347.8,429173.4,425909.2
77,419607.3,426797.7,437885.6,436334.0
78,424377.3,423845.5,437440.1,436867.5
79,430393.0,430952.4,445984.5,443017.0
80,440367.5,440562.5,457313.0,450707.2
81,448805.3,441286.8,453203.3,455792.8
82,447002.2,450203.2,457378.9,460350.4
83,461758.2,457771.0,466273.6,465341.3
84,463123.9,473417.9,480720.7,473798.1
85,464523.3,472624.0,482448.7,485430.7
86,467102.2,476996.5,488289.9,486408.0
87,477440.9,493389.9,497161.2,490945.4
88,489675.5,489845.7,500990.5,503496.3
89,496796.0,494717.8,509954.0,511022.4
90,510056.5,513494.7,515288.8,518024.7
91,506603.4,508890.0,521335.7,521292.8
92,513900.4,515341.1,527932.4,527197.3
93,522344.8,522813.0,531694.6,534889.8
94,528647.5,527872.0,539520.0,540140.3
95,539388.1,540042.6,549917.6,547981.3
96,545002.7,546870.8,551915.7,553638.2
