cores,copy_mb_s,scale_mb_s,add_mb_s,triad_mb_s
1,30234.3,30213.4,28917.3,29228.6
2,59244.6,59099.6,57235.4,57641.6
3,87858.0,86813.3,85054.7,84990.7
4,115481.8,113771.2,111123.7,111162.6
5,142043.1,139418.0,135043.0,136712.7
6,168132.9,164425.4,161484.4,162436.6
7,191484.3,188364.7,183503.8,184473.4
8,211036.9,212790.7,204975.1,209446.1
9,235366.5,233307.2,225424.5,228183.8
10,262421.6,257892.0,246333.8,248886.8
11,288093.0,281688.9,265072.0,266914.0
12,311886.4,307175.4,283060.2,286026.1
13,316887.6,323754.3,301997.4,304471.3
14,328314.6,335957.3,313776.1,315963.4
15,335838.2,339942.3,323797.7,324781.4
16,345447.1,346599.4,338943.2,335978.3
17,361213.0,355559.3,350773.7,352725.0
18,360291.9,362473.0,360972.9,352683.8
19,369127.2,368595.0,368853.9,369842.0
20,377316.4,378060.4,369728.8,380651.5
21,378140.2,385701.6,389771.2,388480.1
22,389328.4,391914.7,397734.5,397459.7
23,397427.0,399834.4,402881.5,400749.6
24,401248.8,408163.4,416487.5,408861.1
25,409992.0,400630.0,420745.2,413437.0
26,416491.1,405185.6,424120.8,412104.1
27,416254.3,412016.3,428886.8,434885.4
28,428571.0,418569.3,433800.0,444650.4
29,435724.7,434889.4,443149.7,440338.9
30,433158.4,434385.0,455335.5,447450.4
31,442087.4,436409.5,459073.3,452622.7
32,447554.0,437654.6,459588.5,464367.6
33,451126.8,446821.5,460359.2,468255.8
34,452941.0,457846.6,472440.5,465154.4
35,456264.2,457677.5,468519.2,466700.0
36,456005.9,453195.9,469584.6,469977.5
37,459833.5,465562.3,476785.4,471628.9
38,460490.8,467033.8,472477.5,470893.5
39,461930.4,469662.2,471279.3,470930.2
40,464207.0,471339.1,469593.8,466474.7
41,465562.3,464944.1,459588.5,463165.8
42,464555.2,464769.6,465674.5,463841.6
43,463259.0,470540.4,456384.9,453651.1
44,464783.1,465454.7,433084.6,460034.9
45,467426.9,469552.7,450034.3,452826.3
46,464220.4,476301.3,454504.6,452936.7
47,466925.5,472098.9,443833.5,452546.4
48,465172.3,474309.5,461908.3,466925.5
49,466641.4,474896.9,438683.7,453753.4
50,469498.0,474658.9,466853.3,463352.3
51,470760.5,475359.4,460508.4,467259.6
52,467616.9,476540.8,453327.7,453438.3
53,466749.6,474309.5,458193.9,465683.4
54,463886.2,472265.1,444372.3,451793.2
55,464327.5,472098.9,464859.1,461467.2
56,460543.5,472625.4,464778.6,469593.8
57,460820.2,471228.7,462244.2,462058.5
58,455683.3,470183.3,426441.5,430016.6
59,451227.9,467549.0,442289.7,450630.3
60,457742.5,468460.1,460543.5,465863.0
61,454500.3,467372.6,459877.2,467612.3
62,443157.8,463819.4,442022.7,467494.7
63,438811.2,468296.7,433115.7,464216.0
64,450975.2,462926.2,460763.1,465378.4
65,440467.3,464662.4,448039.6,446194.3
66,442403.1,464783.1,442233.0,453761.9
67,442962.8,463485.7,444887.9,461722.9
68,440010.0,462992.7,441408.9,462093.9
69,445573.0,464501.6,435606.8,446408.7
70,441578.3,468351.1,447616.2,437722.0
71,443462.9,469429.5,437428.8,459073.3
72,442293.8,466020.3,438015.6,440266.6
