cores,copy_mb_s,scale_mb_s,add_mb_s,triad_mb_s
1,30275.1,30269.3,29132.4,29445.8
2,59425.2,59158.9,57276.4,57603.5
3,87829.7,87043.2,84474.8,84848.0
4,115325.5,113347.6,111411.7,111370.7
5,140561.7,139408.4,135615.3,136299.3
6,165881.8,163417.8,159712.2,161570.8
7,190503.6,187675.5,183474.5,183925.7
8,212931.4,211477.5,205238.1,205941.4
9,235150.0,232260.8,225970.6,224929.2
10,254944.6,255098.1,246978.5,246628.1
11,283898.5,282246.7,266299.1,268018.5
12,309400.0,308062.6,284262.6,283981.9
13,320615.7,323663.2,300188.8,298228.5
14,324792.3,328207.5,313450.4,314429.5
15,334993.0,340308.6,324929.9,324254.0
16,340819.9,342333.9,330617.2,332716.2
17,351455.0,351294.0,343428.9,337687.7
18,356480.1,364046.1,355732.1,355533.2
19,366414.8,371914.5,366737.4,363361.7
20,375032.1,377245.7,377823.9,374224.6
21,376540.1,386711.0,385234.2,385960.4
22,386553.2,382732.0,395410.6,394687.1
23,395669.6,396692.9,399662.4,405029.4
24,393725.5,398745.5,409380.7,412751.8
25,411174.8,402985.6,420072.2,413911.6
26,406823.1,415996.3,429527.3,420167.2
27,417257.2,411574.1,429878.8,430783.3
28,425109.6,427195.6,435010.7,439865.8
29,426528.1,428719.3,444478.6,440467.3
30,427240.9,431175.4,444176.3,444683.2
31,440913.4,445832.0,459474.9,449230.9
32,444552.2,450697.5,463130.3,462279.5
33,445844.4,444392.8,462651.4,466276.6
34,453898.3,449753.6,461282.1,460061.1
35,454718.4,460925.7,467115.1,472440.5
36,457482.5,455838.1,475331.3,474500.5
37,449540.2,463605.7,472708.6,475406.2
38,462102.7,466979.6,471711.8,470856.8
39,465966.4,460425.0,472172.8,472163.5
40,465011.2,461930.4,467196.4,466510.7
41,457196.8,464153.5,466853.3,467115.1
42,466425.2,467956.5,463094.8,458890.2
43,463592.4,470884.3,453898.3,455472.9
44,467101.5,466141.7,461722.9,463806.0
45,466411.7,474477.2,453438.3,456928.7
46,467372.6,469552.7,453157.6,462023.2
47,467671.2,467956.5,456704.1,456453.9
48,468801.0,476188.6,464850.1,473681.8
49,463712.5,474770.9,452580.3,454000.7
50,468582.8,475359.4,463654.7,466997.7
51,467494.7,474952.9,460473.3,467232.5
52,466979.6,475177.1,463174.7,463174.7
53,466654.9,477558.2,459737.2,462908.4
54,465737.3,474072.2,447309.6,462651.4
55,464555.2,473779.3,457725.1,464403.3
56,462713.4,469895.2,462058.5,462058.5
57,460609.4,470595.4,460578.6,465719.3
58,441687.3,470059.8,436496.2,432983.7
59,444086.4,467494.7,425502.7,450067.8
60,448638.6,467264.1,460543.5,462757.7
61,453847.1,465966.4,456522.9,464510.5
62,448226.6,470128.4,450596.7,461167.7
63,455078.2,465454.7,456963.3,465235.1
64,445375.9,463152.5,457395.8,465342.6
65,445375.9,463152.5,444233.4,452682.1
66,443976.3,469498.0,448214.2,454188.4
67,441941.8,463432.3,433379.8,463912.9
68,445363.5,465966.4,441312.1,454145.7
69,440563.7,464608.8,440603.9,447906.7
70,438452.9,461758.2,433278.8,442022.7
71,443719.4,462979.4,445371.8,461828.9
72,443060.3,464501.6,448047.9,455550.1
