cores,copy_mb_s,scale_mb_s,add_mb_s,triad_mb_s
1,35827.9,35542.3,43364.3,43641.4
2,69933.9,70035.8,82688.1,83862.6
3,101240.4,101342.6,120567.0,121114.9
4,132883.6,132621.0,155151.4,157679.1
5,160739.8,160143.5,187361.7,189612.0
6,183658.1,183218.8,215229.1,217301.5
7,205166.9,205076.9,238888.9,241771.9
8,225557.2,223932.7,262536.6,264269.9
9,245628.5,242991.2,284439.1,285613.8
10,262657.0,258248.7,303130.4,303035.5
11,276737.6,270551.7,318714.5,317010.2
12,288314.9,279753.0,330650.0,324063.1
13,221098.5,215983.5,243643.3,240966.8
14,233137.1,227464.8,257859.0,255090.0
15,235138.9,228588.6,261137.4,258104.5
16,245668.5,239869.6,275326.8,272190.4
17,254386.3,247643.2,285073.2,281369.2
18,260561.8,252735.8,293377.4,289695.1
19,269513.5,262423.1,303719.0,300185.8
20,276946.8,268525.9,312816.1,309201.0
21,282198.9,273020.0,319561.0,315808.9
22,286474.9,277832.2,326618.9,322229.7
23,289577.5,280482.3,331420.7,326335.8
24,293045.5,282445.9,335522.2,329979.3
25,249401.9,243536.8,279278.5,277392.6
26,256834.7,250503.4,287971.9,285882.8
27,259350.5,251497.9,291084.3,286879.0
28,267218.4,258954.1,299796.3,295427.6
29,272998.0,264074.3,307299.2,302337.1
30,278305.7,268888.0,313583.2,308221.5
31,284180.8,274969.4,320210.2,315089.5
32,289065.0,279562.6,326027.1,320765.8
33,292887.2,282398.8,331393.7,324953.8
34,297521.9,286450.6,336622.0,330290.2
35,299421.1,287648.1,339448.5,332967.4
36,301807.6,289299.4,342397.9,335871.3
37,270389.8,262336.8,298156.7,293089.8
38,275511.5,267239.5,305099.8,299390.2
39,272465.8,263172.0,305889.2,302395.6
40,278523.0,268191.2,312369.2,307420.0
41,282075.6,271941.1,317465.5,312979.8
42,285840.6,274991.7,322551.8,317425.9
43,286523.3,277088.3,322618.3,318215.7
44,292937.8,282716.9,331280.3,325760.7
45,292381.8,281952.4,329818.8,324627.0
46,298952.3,285665.9,338476.7,331940.1
47,299315.3,286420.4,340477.3,333880.4
48,300316.6,287904.7,341845.3,335289.8
49,279171.1,267376.5,310272.0,304505.8
50,277638.8,267709.2,309360.9,305076.9
51,281390.6,270730.0,314806.6,309398.6
52,283633.7,273273.2,318864.4,313684.7
53,287008.6,276975.1,322812.9,316965.7
54,289398.2,279291.9,326157.9,320250.5
55,291827.9,281361.4,328099.8,322807.8
56,294733.9,284156.9,332423.1,326461.6
57,292463.8,280679.8,329348.7,324585.5
58,286323.6,278545.8,324063.1,324611.4
59,300256.7,287623.7,339329.6,332874.7
60,301271.0,289478.5,341168.5,334484.6
61,281536.7,269358.2,310888.7,307224.9
62,280430.1,269508.2,311827.9,307499.0
63,283012.0,273803.1,318859.4,313138.9
64,282422.4,272630.2,316926.2,312734.3
65,283734.7,273548.9,318799.5,315094.4
66,290539.5,280482.3,327703.2,321826.8
67,293311.8,283657.5,330601.7,324782.5
68,292016.5,280123.0,327365.6,322853.9
69,293737.6,282099.1,329909.7,325218.9
70,295730.5,283610.0,332374.2,327170.7
71,294971.2,283853.5,332260.1,328412.5
72,299619.6,288855.5,340329.1,333748.9
73,280383.7,270255.0,312067.2,308086.0
74,282640.2,272465.8,315397.4,311526.9
75,282245.9,271799.3,315931.5,312148.6
76,284103.3,274412.8,318654.6,314723.7
77,291013.5,277946.2,324782.5,320442.3
78,287648.1,277110.9,323136.1,319958.2
79,290514.6,280140.3,326445.9,322920.6
80,292066.8,280947.3,327988.7,324518.2
81,293311.8,283165.7,330022.2,326351.5
82,299315.3,285437.3,336521.7,330876.0
83,300709.6,286323.6,338854.6,332189.5
84,301405.0,286729.4,339896.8,332896.5
85,285840.6,277803.8,319746.9,315461.0
86,282445.9,274596.2,316783.0,313684.7
87,288548.1,278694.7,322000.1,317401.1
88,283633.7,273642.8,317981.9,314865.1
89,287136.3,276878.9,322449.5,318420.0
90,288855.5,278208.6,324326.7,320230.3
91,290539.5,279995.7,326288.7,322148.1
92,290595.5,279828.1,326419.7,322941.1
93,298899.5,286118.1,334578.1,328810.8
94,284556.6,276427.2,318464.9,321079.8
95,294727.5,283728.7,331463.9,327481.6
96,295376.1,284109.3,332760.3,328232.2
