cores,copy_mb_s,scale_mb_s,add_mb_s,triad_mb_s
1,35791.4,35623.8,42618.7,43414.0
2,43692.2,43863.6,47910.7,48106.3
3,46758.5,46720.8,50858.7,50864.0
4,48316.6,48243.8,52179.0,52061.9
5,49250.3,49197.0,52510.7,52433.5
6,49526.5,49509.8,52837.5,52799.5
7,49922.6,49833.4,53444.0,53443.3
8,50411.8,50291.8,53772.3,53780.1
9,56367.5,56242.9,60180.2,60199.6
10,62222.3,62054.8,66545.8,66559.7
11,67975.0,67892.0,72865.0,72843.0
12,73668.7,73508.1,79046.7,79103.0
13,79482.6,79330.5,85353.7,85386.7
14,84992.1,84805.0,91387.5,91440.9
15,90514.5,90340.1,97439.6,97510.1
16,95748.6,95545.5,103146.5,103230.3
17,100867.5,100625.7,108675.1,108726.8
18,105335.1,105051.0,113218.2,113308.4
19,109145.6,108946.5,117265.7,117393.0
20,113806.9,113555.2,121989.8,122294.2
21,117190.3,116889.2,125759.1,125932.0
22,120939.5,120628.5,129688.5,129917.2
23,124850.3,124600.1,133815.0,134041.7
24,128780.9,128396.7,138116.0,138245.6
25,133300.5,132676.8,143143.7,143282.9
26,137035.8,136556.8,147598.0,147877.1
27,141246.5,140692.4,152367.0,152683.9
28,145420.9,144796.5,157070.1,157443.5
29,149311.5,148570.2,161654.1,161907.7
30,152934.8,152188.0,165953.8,166317.6
31,156694.9,156043.8,170499.9,170843.7
32,160532.3,159771.7,174891.9,175341.4
33,164319.0,163315.3,179150.9,179636.8
34,167581.3,166734.2,182902.3,183468.4
35,171168.0,170087.7,186936.2,187645.2
36,174825.8,173699.0,191152.0,191710.7
37,177522.7,176436.8,194496.1,195209.4
38,181195.9,179907.0,198469.4,199179.0
39,184199.7,183043.1,202074.9,202879.3
40,187147.0,185853.8,205458.1,206405.0
41,190835.4,189305.7,209561.7,210333.4
42,193753.9,192256.3,212959.2,213879.9
43,197301.4,195678.1,216912.0,217585.2
44,200064.8,198416.2,220064.8,220906.3
45,202873.2,201258.8,223246.8,224216.7
46,205705.5,203926.1,226446.5,227403.7
47,208746.4,206766.0,229676.9,230756.0
48,211267.7,209436.6,233032.9,234157.3
49,214124.2,212100.7,236268.6,237402.3
50,216784.9,214537.7,239006.9,240178.4
51,219968.4,217658.5,242579.5,243582.0
52,223066.8,220659.4,246168.2,247284.8
53,225399.7,222773.5,248895.1,249640.7
54,228426.8,225857.9,252304.6,253026.7
55,230379.5,227893.1,254540.7,255738.0
56,234475.9,231686.7,259071.3,259680.0
57,235277.6,232437.6,259792.8,261503.5
58,238855.2,235412.5,264036.6,264641.4
59,244014.7,240299.1,269635.0,269228.0
60,244830.0,241209.8,270913.9,271170.4
61,246944.0,243139.3,273372.4,273482.7
62,248729.2,244847.7,275315.6,275860.9
63,249999.8,246244.2,277282.9,277726.0
64,253691.2,249691.3,281353.6,281517.2
65,255210.0,251009.0,282864.3,283511.1
66,257571.5,252674.6,285730.1,285766.3
67,261023.4,255734.8,289690.9,288933.5
68,262149.1,256893.1,291138.5,290630.8
69,261683.5,256956.4,290506.3,291418.0
70,265377.1,260017.1,295324.6,294853.6
71,266997.4,261320.3,297150.2,296677.6
72,269583.2,263601.9,300314.4,299310.9
73,272148.5,265704.7,303166.5,301906.2
74,272072.1,265808.9,302999.4,302602.6
75,274246.2,267265.8,305732.8,304405.5
76,274902.5,268063.9,306932.7,305792.6
77,275343.6,268196.5,307187.7,306484.0
78,277468.3,270120.4,309936.2,308712.8
79,278026.0,270886.8,311307.5,309955.1
80,278792.2,271755.7,312048.0,311107.5
81,281952.4,274063.2,315500.2,314028.7
82,283758.4,275036.3,317981.9,315544.2
83,283782.2,275114.5,317316.9,315975.7
84,286245.0,276596.4,320467.5,317673.9
85,287984.2,277735.5,321908.4,318989.5
86,292274.6,282616.7,327391.9,322659.2
87,289398.2,278815.1,323779.3,320760.7
88,290259.5,279972.5,324979.8,321847.2
89,292199.1,281215.4,326576.9,323418.8
90,291069.7,280337.3,325698.1,322982.1
91,293553.1,281753.2,328364.7,324321.5
92,298596.7,286832.5,334391.1,328635.4
93,292571.1,281975.9,328364.7,325343.8
94,294171.1,283681.2,330924.5,326618.9
95,294919.8,284031.9,331940.1,327502.7
96,295807.9,284532.7,333196.5,328949.1
