cores,copy_mb_s,scale_mb_s,add_mb_s,triad_mb_s
1,93798.3,92081.6,70142.0,69577.4
2,186841.8,180230.7,141095.2,138869.0
3,279652.1,269815.5,211368.3,207660.8
4,370868.0,354693.9,279815.6,276888.4
5,457645.7,432685.8,349293.4,342163.2
6,527667.0,499996.8,416500.1,407958.9
7,578089.0,552448.1,485092.4,474044.9
8,610262.5,590684.5,553627.0,541343.7
9,639864.6,619154.1,618250.2,609656.6
10,668968.4,658883.1,672485.1,664049.0
11,697621.1,691220.9,697251.4,701366.2
12,719950.9,719065.6,723456.9,725451.2
13,716255.8,720500.0,698706.0,702838.0
14,740885.7,748836.7,740260.5,734944.5
15,771560.1,776438.1,811085.9,796669.3
16,790074.8,797566.1,830877.4,809126.5
17,805729.0,813306.1,858125.6,835778.0
18,818782.7,828057.6,877543.0,863718.3
19,829007.8,835891.8,878212.4,873506.7
20,842312.9,847954.3,887991.5,886197.3
21,850420.5,856888.2,888505.4,905539.2
22,860370.1,864975.5,910057.5,915939.9
23,870616.9,873527.4,909697.9,934905.8
24,880605.3,880605.3,927562.1,943718.4
25,890179.9,890761.0,947748.3,945947.6
26,898187.8,894589.3,947358.4,965278.9
27,909024.6,905072.0,964217.9,977261.7
28,912469.1,911047.6,982735.8,975605.5
29,920126.0,915871.6,976019.0,991676.5
30,929246.5,925465.1,1003671.3,995212.5
31,935190.5,930725.4,1009888.9,1018093.5
32,945413.6,938764.9,1024947.6,1027119.2
33,947894.6,941138.9,1050249.9,1032415.1
34,950021.0,946360.6,1042759.2,1040991.4
35,957502.1,952821.9,1047502.7,1051208.8
36,966393.0,960047.1,1060101.5,1054518.5
37,972438.2,964117.0,1070699.4,1074070.5
38,975683.0,967001.7,1085270.6,1067040.3
39,981217.8,974676.4,1092543.9,1079673.1
40,987450.5,981610.0,1098800.1,1084695.5
41,991836.7,987133.0,1101889.2,1091702.2
42,997313.8,991196.3,1104399.5,1090087.2
43,1004492.2,1002033.5,1106854.7,1095011.8
44,1007954.9,1007210.9,1109655.0,1098276.0
45,1017727.9,1014533.0,1111663.9,1101033.0
46,1022728.4,1020179.6,1109053.8,1095532.7
47,1031403.6,1027348.3,1113545.5,1101296.3
48,1037590.6,1033225.8,1116650.5,1098014.1
49,1047592.1,1039786.8,1116650.5,1090603.5
50,1050639.2,1046788.5,1119228.6,1087641.4
51,1055969.2,1051718.9,1114691.0,1101296.3
52,1063559.5,1057059.9,1112133.7,1099652.8
53,1072569.6,1064020.3,1116989.0,1102680.7
54,1071727.2,1067813.4,1112469.5,1099915.4
55,1075669.8,1071727.2,1109387.7,1095858.6
56,1083164.8,1077273.9,1106057.2,1094166.3
57,1085270.6,1076896.0,1110457.7,1094426.3
58,1084503.9,1081638.4,1110190.0,1094426.3
59,1086422.7,1081257.4,1101559.7,1090345.3
60,1083642.6,1081638.4,1104598.1,1096380.4
61,1085270.6,1082782.8,1101625.6,1096641.5
62,1086903.5,1083260.3,1093646.6,1095532.7
63,1088444.7,1084408.1,1104333.3,1097425.4
64,1086903.5,1082496.4,1099652.8,1093322.0
65,1084887.1,1079262.0,1098014.1,1093062.6
66,1085654.4,1078030.4,1088219.7,1091443.5
67,1085558.4,1078503.7,1094166.3,1096315.1
68,1083260.3,1080496.4,1094166.3,1094166.3
69,1086038.4,1080116.3,1099652.8,1098538.0
70,1086422.7,1075669.8,1086038.4,1096315.1
71,1082782.8,1074916.6,1085782.3,1082337.4
72,1083642.6,1076046.8,1091443.5,1088734.2
73,1086038.4,1077652.0,1085206.7,1087962.6
74,1086518.8,1074164.4,1086038.4,1084759.3
75,1085654.4,1076046.8,1090087.2,1091443.5
76,1081638.4,1076424.1,1083865.8,1080686.6
77,1084887.1,1073694.9,1086358.6,1091961.1
78,1082878.2,1073694.9,1088476.9,1091766.9
79,1081257.4,1070606.1,1083101.1,1093906.4
80,1084025.3,1070512.7,1085782.3,1087641.4
81,1082019.6,1071727.2,1079356.8,1089571.4
82,1083260.3,1072476.0,1073069.4,1078345.9
83,1082019.6,1070139.6,1071197.5,1082019.6
84,1083642.6,1069021.8,1073069.4,1080179.6
85,1082401.0,1070606.1,1074070.5,1080940.2
86,1081257.4,1069021.8,1082019.6,1085270.6
87,1080876.8,1069766.7,1080686.6,1082846.4
88,1079641.5,1069021.8,1080940.2,1079673.1
