cores,copy_mb_s,scale_mb_s,add_mb_s,triad_mb_s
1,93531.2,91798.7,70160.9,69535.4
2,186722.4,182599.7,141208.7,138422.3
3,279283.2,270207.3,211034.2,207630.4
4,358211.5,344350.7,277205.0,273647.2
5,444445.6,428384.3,345578.0,339627.3
6,517680.0,500241.2,411853.5,404341.3
7,565133.8,550590.5,476201.6,467630.9
8,498292.7,498454.5,431515.2,435504.0
9,553294.4,555496.7,482905.2,486167.8
10,608719.8,601858.5,529532.7,534433.4
11,652546.3,655786.9,594641.0,599830.1
12,677007.8,678879.1,663140.6,670039.0
13,718855.2,721558.3,720119.7,741392.6
14,744253.2,749613.8,763833.9,769449.2
15,761938.3,771172.5,803690.2,801173.5
16,782473.5,791347.5,811693.5,819711.8
17,798499.5,805464.8,833245.1,839931.8
18,810889.5,817202.7,861013.5,853988.4
19,823891.2,833678.8,874585.0,873506.7
20,837088.3,844514.0,889449.2,881237.2
21,845502.4,852368.3,884410.3,896504.9
22,854681.8,858385.6,908576.2,905183.2
23,866256.8,868339.3,912175.4,918268.4
24,877146.1,877459.4,925837.2,938095.6
25,886965.3,885622.1,936426.6,938430.1
26,895959.9,892184.7,945947.6,962354.2
27,900889.2,898450.7,963562.3,969750.6
28,908486.6,904272.3,964672.3,971643.2
29,915598.5,912198.0,972566.6,983890.6
30,925674.4,922753.2,994567.7,991890.1
31,932138.3,926302.8,1002088.0,1008285.9
32,939339.3,933413.6,1019276.4,1016913.2
33,944541.0,938477.9,1044000.2,1022331.0
34,948846.6,943017.9,1037298.4,1031721.3
35,958099.7,951935.7,1045718.8,1045244.2
36,963814.3,957203.6,1067040.3,1063406.1
37,970440.3,962153.1,1069891.0,1070201.8
38,975683.0,968909.0,1085270.6,1065497.3
39,982866.9,975683.0,1089829.2,1069145.9
40,990237.2,982866.9,1098014.1,1073569.7
41,995212.5,990237.2,1100178.2,1082273.8
42,999668.1,995858.1,1105459.9,1088991.7
43,1006220.6,1002442.4,1107120.8,1084695.5
44,1011108.4,1007954.9,1107120.8,1093322.0
45,1019840.7,1016296.1,1111060.5,1089313.7
46,1024178.3,1019925.4,1112469.5,1096902.7
47,1031316.9,1027348.3,1114151.6,1098014.1
48,1038643.6,1034618.5,1118141.6,1093386.9
49,1044207.3,1042434.6,1117870.2,1090345.3
50,1050549.4,1047592.1,1117870.2,1091184.9
51,1057424.0,1051358.8,1114488.7,1096054.2
52,1063191.2,1057424.0,1115568.5,1090087.2
53,1067442.2,1063928.1,1117531.1,1084695.5
54,1072101.5,1067906.3,1116989.0,1097752.4
55,1077652.0,1072195.1,1112805.6,1093906.4
56,1081638.4,1074916.6,1112738.3,1092025.8
57,1082114.9,1080021.3,1110725.5,1090087.2
58,1086038.4,1079262.0,1110256.9,1088476.9
59,1086422.7,1083260.3,1103539.4,1092284.8
60,1083260.3,1082114.9,1104598.1,1081765.4
61,1086038.4,1082878.2,1105194.6,1086871.4
62,1084503.9,1082019.6,1093906.4,1087128.0
63,1086134.4,1080876.8,1101033.0,1096641.5
64,1086422.7,1083260.3,1099652.8,1092025.8
65,1084503.9,1080116.3,1104598.1,1093322.0
66,1084791.3,1080496.4,1086871.4,1092025.8
67,1086422.7,1082114.9,1092543.9,1091184.9
68,1086518.8,1080496.4,1101033.0,1092284.8
69,1085654.4,1077746.6,1100769.8,1095858.6
70,1085270.6,1077273.9,1086358.6,1094166.3
71,1083642.6,1077273.9,1086294.6,1082019.6
72,1086134.4,1077273.9,1095793.4,1085526.4
73,1084025.3,1074446.4,1080179.6,1083674.5
74,1080876.8,1074916.6,1084759.3,1083101.1
75,1082401.0,1077273.9,1089571.4,1093062.6
76,1080876.8,1072944.4,1084695.5,1085526.4
77,1082782.8,1072476.0,1085526.4,1088219.7
78,1086422.7,1073694.9,1085526.4,1089313.7
79,1079262.0,1072195.1,1088476.9,1090926.4
80,1079262.0,1070979.5,1085782.3,1091184.9
81,1082401.0,1072944.4,1079863.0,1090345.3
82,1080781.7,1069766.7,1073319.5,1079673.1
83,1083642.6,1070979.5,1073820.1,1086871.4
84,1084503.9,1068649.7,1074133.1,1083419.6
85,1080496.4,1070979.5,1074133.1,1075450.0
86,1086903.5,1070139.6,1084440.1,1086102.4
87,1082019.6,1070606.1,1078851.1,1087384.6
88,1083642.6,1067813.4,1081511.4,1085014.9
